Player,Team,Minutes,goals_per_90,player_expected_goals_per_90,player_expected_assists_per_90,player_accurate_passes,player_accurate_long_balls,player_tackles_won,player_interceptions,player_effective_clearances,player_contests_won,player_big_chances_created
Marvin Mehlem,SV Darmstadt,1491,0.18,0.24,0.09,26.1,1.1,1.3,2.0,0.7,0.6,0.0
Marvin Pieringer,1. FC Heidenheim 1846,1520,0.18,0.14,0.09,17.5,0.8,0.7,0.7,1.2,0.6,3.0
Arne Maier,FC Augsburg,998,0.18,0.14,0.25,37.4,3.1,0.8,0.5,1.0,1.1,2.0
Grischa Prömel,TSG Hoffenheim,2146,0.17,0.16,0.09,33.4,1.2,0.8,0.9,1.5,0.5,5.0
Ko Itakura,Borussia Mönchengladbach,1598,0.17,0.08,0.04,44.9,1.9,1.2,1.2,3.4,0.3,0.0
Mats Hummels,Borussia Dortmund,1581,0.17,0.18,0.08,71.7,6.0,1.9,1.9,4.6,0.1,2.0
Julian Justvan,SV Darmstadt,1069,0.17,0.08,0.3,25.2,1.8,0.3,0.9,0.5,1.3,2.0
Niklas Stark,SV Werder Bremen,1086,0.17,0.02,0.02,39.2,3.9,1.2,1.6,4.9,0.1,0.0
Ozan Kabak,TSG Hoffenheim,2290,0.16,0.09,0.07,45.5,2.2,1.4,1.8,4.1,0.4,1.0
Maxence Lacroix,VfL Wolfsburg,2364,0.15,0.03,0.05,46.6,3.7,1.1,0.9,4.4,0.3,0.0
Roland Sallai,SC Freiburg,1850,0.15,0.39,0.17,19.3,0.6,0.5,0.3,1.0,1.0,7.0
Aleksandar Pavlovic,Bayern München,1228,0.15,0.09,0.13,64.9,3.0,1.2,1.2,0.8,0.4,2.0
Christopher Antwi-Adjej,VfL Bochum,1216,0.15,0.16,0.22,16.0,0.4,0.9,0.1,0.7,0.5,7.0
Josha Vagnoman,VfB Stuttgart,1181,0.15,0.1,0.11,33.2,0.7,1.4,0.2,1.0,0.8,2.0
Nick Woltemade,SV Werder Bremen,1182,0.15,0.19,0.14,23.9,1.3,1.8,0.4,1.1,2.2,0.0
Jonathan Tah,Bayer 04 Leverkusen,2632,0.14,0.07,0.03,70.7,1.8,0.3,0.8,3.2,0.2,1.0
Leandro Barreiro,1. FSV Mainz 05,2606,0.14,0.16,0.04,23.3,1.1,1.4,1.2,1.8,0.5,1.0
Romano Schmid,SV Werder Bremen,2614,0.14,0.18,0.23,31.3,1.4,0.7,0.4,0.5,1.4,12.0
Brenden Aaronson,1. FC Union Berlin,1263,0.14,0.15,0.14,24.8,0.6,1.3,0.1,0.2,2.4,4.0
Kristijan Jakic,FC Augsburg,1253,0.14,0.06,0.07,35.1,2.2,1.2,1.6,1.1,0.4,0.0
Moritz Broschinski,VfL Bochum,1242,0.14,0.17,0.07,9.5,0.0,0.5,0.0,0.3,0.8,5.0
Mario Götze,Eintracht Frankfurt,2075,0.13,0.13,0.16,44.5,1.8,1.5,0.6,0.4,0.8,5.0
Fredrik Jensen,FC Augsburg,1350,0.13,0.06,0.28,17.4,0.9,0.7,0.8,1.3,0.3,5.0
Ludovic Ajorque,1. FSV Mainz 05,1355,0.13,0.35,0.11,21.1,0.6,0.1,0.3,0.7,0.1,0.0
Matthijs de Ligt,Bayern München,1389,0.13,0.12,0.04,72.4,2.6,0.8,1.2,3.4,0.1,0.0
Olivier Deman,SV Werder Bremen,1359,0.13,0.07,0.08,29.2,2.8,1.0,0.9,2.7,0.7,2.0
Marco Richter,1. FSV Mainz 05,713,0.13,0.24,0.26,21.1,1.9,0.5,0.3,0.1,2.0,2.0
Jens Stage,SV Werder Bremen,2334,0.12,0.17,0.07,29.5,1.3,0.8,0.9,2.0,0.3,4.0
Amadou Haidara,RB Leipzig,1537,0.12,0.07,0.09,40.5,1.8,1.6,1.2,2.2,0.5,2.0
John Anthony Brooks,TSG Hoffenheim,1539,0.12,0.15,0.02,43.1,4.2,0.9,1.6,6.2,0.2,0.0
Merlin Röhl,SC Freiburg,1483,0.12,0.12,0.13,21.7,0.7,0.8,0.5,1.3,1.3,5.0
Noah Weisshaupt,SC Freiburg,744,0.12,0.06,0.22,29.8,1.6,0.5,1.0,1.3,1.0,5.0
Franck Honorat,Borussia Mönchengladbach,2358,0.11,0.06,0.36,26.1,0.8,0.5,0.3,1.0,0.8,19.0
Pavel Kaderabek,TSG Hoffenheim,2419,0.11,0.09,0.2,24.8,1.1,0.7,0.9,2.3,0.1,10.0
Yannick Gerhardt,VfL Wolfsburg,1635,0.11,0.1,0.1,31.0,1.2,1.1,0.4,1.8,0.0,1.0
Sargis Adamyan,FC Köln,797,0.11,0.46,0.12,14.8,0.3,1.0,0.6,0.7,0.8,4.0
Granit Xhaka,Bayer 04 Leverkusen,2828,0.1,0.06,0.19,95.6,4.3,0.7,0.6,1.3,0.5,4.0
Mitchell Weiser,SV Werder Bremen,2639,0.1,0.13,0.2,29.2,1.7,1.3,0.7,1.3,1.7,8.0
Sepp van den Berg,1. FSV Mainz 05,2838,0.1,0.08,0.01,37.7,1.8,0.7,1.4,4.9,0.1,1.0
Hugo Larsson,Eintracht Frankfurt,1885,0.1,0.06,0.07,39.5,1.3,0.9,1.4,1.4,0.3,3.0
Patrick Osterhage,VfL Bochum,1863,0.1,0.07,0.03,31.3,1.3,1.3,1.3,1.4,0.8,0.0
Alphonso Davies,Bayern München,2067,0.09,0.04,0.14,56.2,0.3,1.0,1.1,1.7,3.0,3.0
Elvis Rexhbecaj,FC Augsburg,1994,0.09,0.08,0.06,23.2,1.2,0.9,0.9,0.9,0.4,0.0
Emre Can,Borussia Dortmund,1956,0.09,0.1,0.06,58.9,3.3,2.1,1.0,1.7,0.7,1.0
Fares Chaibi,Eintracht Frankfurt,1920,0.09,0.14,0.29,24.3,1.3,0.8,0.2,0.8,0.3,15.0
Jan Schöppner,1. FC Heidenheim 1846,2000,0.09,0.05,0.06,19.9,1.4,1.2,1.2,2.5,0.5,3.0
Maximilian Mittelstaedt,VfB Stuttgart,2104,0.09,0.04,0.29,54.2,1.9,2.2,2.0,2.3,1.5,8.0
Maximilian Wöber,Borussia Mönchengladbach,2070,0.09,0.06,0.05,51.0,2.5,1.3,1.7,4.6,0.1,2.0
Milos Veljkovic,SV Werder Bremen,1921,0.09,0.08,0.04,49.5,5.4,0.7,0.8,2.6,0.1,1.0
Adrian Beck,1. FC Heidenheim 1846,971,0.09,0.16,0.06,28.7,1.4,1.2,0.4,1.4,1.9,2.0
Felix Nmecha,Borussia Dortmund,1016,0.09,0.15,0.11,33.8,1.6,1.2,1.0,1.7,0.8,0.0
Mathias Honsak,SV Darmstadt,1013,0.09,0.16,0.06,17.4,0.4,0.6,0.7,2.0,0.8,2.0
Tiago Tomás,VfL Wolfsburg,1029,0.09,0.23,0.08,15.4,0.3,0.2,0.3,0.7,1.8,2.0
Christoph Klarer,SV Darmstadt,2356,0.08,0.05,0.04,39.6,2.9,0.8,0.8,3.4,0.2,2.0
Danilho Doekhi,1. FC Union Berlin,2160,0.08,0.05,0.04,30.7,2.9,1.0,1.6,4.3,0.1,0.0
Ellyes Skhiri,Eintracht Frankfurt,2169,0.08,0.1,0.08,44.7,2.0,1.0,1.6,1.7,0.5,3.0
Mohamed Simakan,RB Leipzig,2139,0.08,0.17,0.12,54.1,2.4,1.2,1.2,2.9,0.5,3.0
Jamie Bynoe-Gittens,Borussia Dortmund,1059,0.08,0.19,0.25,23.5,0.4,0.6,0.3,0.5,3.7,4.0
Anthony Caci,1. FSV Mainz 05,2493,0.07,0.06,0.13,35.4,3.9,0.8,1.2,1.4,0.8,6.0
Anton Stach,TSG Hoffenheim,2497,0.07,0.07,0.1,38.3,2.1,1.5,2.7,2.4,1.0,6.0
David Raum,RB Leipzig,2743,0.07,0.02,0.35,41.3,2.3,1.1,0.9,2.0,0.6,15.0
Joakim Mæhle,VfL Wolfsburg,2454,0.07,0.05,0.19,37.3,1.4,1.4,1.1,2.1,0.8,4.0
Julian Weigl,Borussia Mönchengladbach,2766,0.07,0.08,0.05,42.5,2.7,1.3,1.6,2.0,0.5,4.0
Maximilian Arnold,VfL Wolfsburg,2503,0.07,0.04,0.16,45.0,3.8,1.1,0.9,1.9,0.3,5.0
Nico Elvedi,Borussia Mönchengladbach,2485,0.07,0.06,0.01,53.3,1.4,0.7,1.6,5.2,0.2,0.0
Robin Koch,Eintracht Frankfurt,2740,0.07,0.1,0.02,62.4,2.8,0.8,1.1,4.4,0.1,0.0
András Schäfer,1. FC Union Berlin,1218,0.07,0.13,0.07,29.4,0.9,1.2,1.5,1.6,1.6,3.0
Janik Haberer,1. FC Union Berlin,1223,0.07,0.07,0.09,28.0,1.3,1.8,0.9,1.3,0.6,1.0
Kevin Kampl,RB Leipzig,1360,0.07,0.01,0.1,60.9,1.9,0.5,0.7,0.7,0.7,2.0
Marius Bülter,TSG Hoffenheim,1346,0.07,0.1,0.29,26.6,1.8,0.7,0.7,1.3,1.2,6.0
Philipp Max,Eintracht Frankfurt,1357,0.07,0.02,0.16,39.7,1.5,1.1,0.5,1.0,0.4,5.0
Silvan Widmer,1. FSV Mainz 05,1243,0.07,0.1,0.18,27.4,1.9,0.7,1.2,2.2,0.1,8.0
Tom Krauss,1. FSV Mainz 05,1339,0.07,0.05,0.05,32.4,1.5,2.2,1.1,1.8,0.2,1.0
Felix Uduokhai,FC Augsburg,2922,0.06,0.05,0.04,41.4,3.1,0.6,1.4,5.4,0.2,0.0
Nico Schlotterbeck,Borussia Dortmund,2861,0.06,0.1,0.06,74.6,5.9,1.6,1.4,3.1,0.3,4.0
Patrick Mainka,1. FC Heidenheim 1846,3060,0.06,0.1,0.02,37.8,2.5,1.4,1.4,4.6,0.3,0.0
Dan-Axel Zagadou,VfB Stuttgart,1453,0.06,0.06,0.04,72.9,3.9,0.9,1.2,4.6,0.2,0.0
Fabian Nürnberger,SV Darmstadt,1519,0.06,0.05,0.15,35.8,1.8,1.3,1.0,1.3,1.1,1.0
Iago,FC Augsburg,1622,0.06,0.08,0.16,24.5,2.3,0.9,1.0,2.2,1.1,4.0
Jan Thielmann,FC Köln,1588,0.06,0.13,0.07,17.3,1.3,1.0,0.5,1.4,1.0,1.0
Karim Onisiwo,1. FSV Mainz 05,1496,0.06,0.14,0.08,11.7,0.5,0.5,0.1,0.4,1.1,3.0
Kouadio Koné,Borussia Mönchengladbach,1565,0.06,0.07,0.04,33.5,1.3,1.5,0.9,0.9,2.1,1.0
Leonardo Bittencourt,SV Werder Bremen,1585,0.06,0.13,0.16,36.8,1.6,1.0,0.7,0.3,1.0,5.0
Luca Pfeiffer,SV Darmstadt,1625,0.06,0.26,0.06,15.9,0.4,0.3,0.1,1.2,0.4,2.0
Lukas Klostermann,RB Leipzig,1433,0.06,0.05,0.06,64.1,3.0,0.6,0.8,3.8,0.0,0.0
Nadiem Amiri,1. FSV Mainz 05,1401,0.06,0.15,0.27,39.1,2.9,1.0,0.9,1.2,1.7,10.0
Niklas Süle,Borussia Dortmund,1509,0.06,0.03,0.04,82.8,5.0,0.6,1.5,3.4,0.2,0.0
Piero Hincapié,Bayer 04 Leverkusen,1484,0.06,0.12,0.05,77.6,2.3,1.3,0.8,2.5,0.1,1.0
Aurelio Buta,Eintracht Frankfurt,1744,0.05,0.02,0.09,37.3,1.5,1.3,0.8,1.7,0.6,0.0
Dayot Upamecano,Bayern München,1763,0.05,0.09,0.05,85.0,3.2,1.1,1.0,2.7,0.3,1.0
Ivan Ordets,VfL Bochum,1879,0.05,0.06,0.08,22.6,1.2,0.7,1.5,6.0,0.0,1.0
Linton Maina,FC Köln,1904,0.05,0.09,0.16,20.6,0.4,0.7,0.3,0.5,1.0,6.0
Lukas Kübler,SC Freiburg,1848,0.05,0.03,0.03,32.3,2.2,1.2,1.8,2.6,0.1,0.0
Mads Valentin Pedersen,FC Augsburg,1783,0.05,0.04,0.11,25.4,1.6,2.0,1.0,2.2,1.2,2.0
Matej Maglica,SV Darmstadt,1701,0.05,0.03,0.06,40.0,3.8,1.1,1.2,4.7,0.1,1.0
Matthias Bader,SV Darmstadt,1807,0.05,0.04,0.17,26.6,2.1,1.2,1.2,0.8,0.9,3.0
Mattias Svanberg,VfL Wolfsburg,1725,0.05,0.15,0.13,29.4,1.2,0.9,1.1,1.3,0.8,5.0
Matus Bero,VfL Bochum,1665,0.05,0.16,0.1,18.3,1.1,1.2,0.6,1.4,0.2,4.0
Max Finkgrafe,FC Köln,1756,0.05,0.05,0.08,23.2,1.3,2.0,1.1,1.6,1.8,2.0
Min-Jae Kim,Bayern München,1970,0.05,0.04,0.02,90.5,2.5,1.1,2.1,3.1,0.1,1.0
Odilon Kossounou,Bayer 04 Leverkusen,1812,0.05,0.03,0.08,60.5,1.8,1.0,1.3,1.9,1.1,1.0
Robin Knoche,1. FC Union Berlin,1916,0.05,0.06,0.02,43.4,3.3,1.0,0.6,3.3,0.1,0.0
Benedikt Gimber,1. FC Heidenheim 1846,2026,0.04,0.06,0.05,30.2,2.3,1.1,0.7,4.4,0.4,2.0
Benjamin Henrichs,RB Leipzig,2531,0.04,0.09,0.21,38.7,2.2,1.4,1.2,1.1,1.2,9.0
Castello Lukeba,RB Leipzig,2185,0.04,0.03,0.03,70.8,2.1,0.5,0.5,3.8,0.7,0.0
Dominik Kohr,1. FSV Mainz 05,2190,0.04,0.07,0.05,35.5,2.9,1.7,1.8,2.1,0.2,1.0
Eric Martel,FC Köln,2464,0.04,0.08,0.03,33.1,1.1,1.6,1.6,2.9,0.3,1.0
Florian Grillitsch,TSG Hoffenheim,2297,0.04,0.05,0.07,58.2,4.1,1.1,2.0,3.4,0.5,2.0
Joseph Scally,Borussia Mönchengladbach,2236,0.04,0.02,0.06,34.9,1.5,1.1,0.7,2.9,0.4,3.0
Joshua Kimmich,Bayern München,2185,0.04,0.05,0.38,74.6,3.7,1.4,0.6,1.0,0.4,11.0
Lennard Maloney,1. FC Heidenheim 1846,2292,0.04,0.03,0.05,27.3,2.5,1.0,1.0,3.2,0.2,2.0
Manuel Gulde,SC Freiburg,2048,0.04,0.05,0.02,41.2,2.0,1.0,1.1,3.5,0.1,0.0
Marco Friedl,SV Werder Bremen,2198,0.04,0.01,0.01,37.9,3.6,1.3,1.4,5.2,0.2,0.0
Nicolas Höfler,SC Freiburg,2332,0.04,0.03,0.03,37.9,1.2,1.5,1.2,1.6,0.5,0.0
Philipp Mwene,1. FSV Mainz 05,2003,0.04,0.07,0.12,22.1,1.5,0.7,0.8,1.8,0.7,4.0
Ridle Baku,VfL Wolfsburg,2011,0.04,0.08,0.16,29.9,1.6,0.9,0.9,1.6,0.8,10.0
Angelo Stiller,VfB Stuttgart,2780,0.03,0.06,0.18,76.1,2.7,1.1,0.9,0.8,0.6,6.0
Anthony Jung,SV Werder Bremen,2583,0.03,0.02,0.03,53.1,3.0,0.8,0.8,3.3,0.2,0.0
Anthony Losilla,VfL Bochum,2586,0.03,0.08,0.04,22.4,0.8,1.3,0.9,1.7,0.3,2.0
