Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches
Gift Orban,Hoffenheim,de Bundesliga,FW,687,4,3.4,3.4,0,0.2,1.44,0.52,8,7,35,70.8,2,0.9,1,0,3,3,36.4,108,208
Willi Orban,RB Leipzig,de Bundesliga,DF,2222,5,4.0,4.0,0,1.0,0.89,0.28,15,106,8,87.4,8,0.7,21,21,59,169,75.0,1083,2101
Ivan Ordets,Bochum,de Bundesliga,DF,1861,0,0.7,0.7,0,0.7,0.53,0.0,2,48,4,80.0,7,1.8,8,41,59,139,100.0,510,1156
Stefan Ortega,Manchester City,eng Premier League,GK,1100,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,81.3,0,0.0,0,0,0,11,,323,492
Patrick Osterhage,Freiburg,de Bundesliga,MF,2267,1,1.7,1.7,0,1.4,0.83,0.12,26,73,50,83.7,16,2.1,29,18,63,37,40.7,636,1259
Dango Ouattara,Bournemouth,eng Premier League,FW,2005,7,8.4,8.4,4,5.5,2.78,0.9,79,43,191,60.0,35,3.3,26,11,46,51,47.6,492,959
Exequiel Palacios,Leverkusen,de Bundesliga,MF,1155,1,1.5,1.5,6,2.3,1.01,0.62,15,97,40,90.1,28,2.4,15,13,35,15,66.7,660,1144
João Palhinha,Bayern Munich,de Bundesliga,MF,673,0,0.7,0.7,0,0.2,1.34,0.4,3,32,7,92.4,4,0.5,14,4,24,9,50.0,330,631
Alex Palmer,Ipswich Town,eng Premier League,GK,1170,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,70.7,1,0.0,0,0,0,12,,210,470
Cole Palmer,Chelsea,eng Premier League,"MF,FW",3191,15,17.3,13.3,8,10.9,3.41,1.24,120,214,187,77.0,87,9.1,20,11,45,20,45.1,1173,1851
Emerson Palmieri,West Ham,eng Premier League,DF,2113,2,2.0,2.0,1,1.5,0.68,0.3,47,66,83,79.9,16,2.2,31,21,81,59,33.3,555,1325
Lucas Paquetá,West Ham,eng Premier League,"MF,FW",2380,4,5.3,3.7,0,3.1,1.47,0.11,26,155,85,77.3,36,3.3,37,18,84,37,44.7,921,1796
Thomas Partey,Arsenal,eng Premier League,"MF,DF",2797,4,2.3,2.3,2,2.1,0.84,0.29,36,185,48,87.4,20,2.6,53,35,124,49,68.6,1256,2193
Felix Passlack,Bochum,de Bundesliga,"DF,MF",2334,1,1.3,1.3,6,3.9,1.0,0.23,43,65,118,66.2,25,3.7,23,18,71,63,38.7,588,1290
Aleksandar Pavlovic,Bayern Munich,de Bundesliga,MF,1451,1,0.6,0.6,0,0.2,0.56,0.25,15,128,33,93.3,7,1.9,21,5,43,14,100.0,1035,1648
Jordan Pefok,Union Berlin,de Bundesliga,FW,908,0,3.2,3.2,1,0.9,2.28,0.69,3,12,40,69.1,14,0.4,6,4,15,18,53.8,158,326
Andreas Pereira,Fulham,eng Premier League,MF,2013,2,3.8,3.0,4,4.6,1.7,0.36,29,104,81,69.1,57,4.6,13,8,32,17,46.7,578,1148
Kalvin Phillips,Ipswich Town,eng Premier League,MF,1237,0,0.4,0.4,0,0.2,0.8,0.15,4,51,4,79.1,5,0.5,19,19,54,37,41.7,310,739
Benedikt Pichler,Holstein Kiel,de Bundesliga,FW,785,1,2.3,2.3,2,1.1,2.29,1.03,18,19,58,63.2,12,1.2,2,2,7,11,44.4,152,310
Jordan Pickford,Everton,eng Premier League,GK,3420,0,0.0,0.0,1,0.4,0.0,0.0,0,0,0,66.3,2,0.2,0,1,2,30,,989,1708
Amos Pieper,Werder Bremen,de Bundesliga,DF,1498,0,0.4,0.4,0,0.6,0.42,0.06,11,62,3,84.8,4,0.6,17,24,56,98,66.7,570,1136
Marvin Pieringer,Heidenheim,de Bundesliga,"FW,MF",2206,7,8.9,6.6,4,4.0,2.33,0.69,23,59,115,65.8,30,2.3,13,8,31,32,45.7,467,849
Ethan Pinnock,Brentford,eng Premier League,DF,1913,2,1.1,1.1,0,1.2,0.47,0.28,3,41,9,85.6,8,0.7,19,24,59,142,33.3,633,1348
Alassane Pléa,Gladbach,de Bundesliga,"MF,FW",1902,11,7.4,6.6,4,3.1,1.94,0.57,51,116,141,72.1,25,3.3,3,2,9,7,39.5,601,979
Nick Pope,Newcastle Utd,eng Premier League,GK,2520,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,73.5,1,0.0,0,1,1,32,,439,872
Finn Porath,Holstein Kiel,de Bundesliga,"DF,MF",1970,2,1.9,1.8,3,2.0,1.32,0.55,42,58,69,66.9,22,1.8,26,21,66,67,44.4,418,999
Pedro Porro,Tottenham,eng Premier League,DF,2610,2,1.6,1.6,6,5.0,1.34,0.28,65,154,109,73.2,57,4.6,49,36,102,84,35.0,1187,2237
Alexander Prass,Hoffenheim,de Bundesliga,DF,1566,0,0.9,0.9,1,2.8,0.69,0.06,28,63,66,72.7,18,2.8,23,9,51,53,47.6,605,1199
Leopold Querfeld,Union Berlin,de Bundesliga,DF,1747,2,1.1,1.1,2,1.0,0.82,0.21,3,49,5,80.8,10,1.2,12,19,44,144,33.3,531,1066
Aaron Ramsdale,Southampton,eng Premier League,GK,2700,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,63.3,0,0.1,0,2,2,10,,786,1314
Jacob Ramsey,Aston Villa,eng Premier League,"FW,MF",1623,1,1.6,1.6,3,2.3,1.05,0.22,61,68,114,84.8,21,2.2,15,8,38,8,54.3,496,762
Marcus Rashford,Manchester Utd,eng Premier League,"FW,MF",978,4,1.7,1.7,1,2.1,1.47,0.83,20,21,79,73.8,15,1.4,4,4,11,7,23.1,293,440
David Raum,RB Leipzig,de Bundesliga,DF,1783,1,0.5,0.5,5,6.5,0.45,0.2,36,71,127,69.4,48,7.4,28,9,47,47,39.3,593,1389
David Raya,Arsenal,eng Premier League,GK,3420,0,0.0,0.0,0,0.0,0.0,0.0,0,14,0,73.6,1,0.1,0,2,2,21,100.0,921,1480
Rocco Reitz,Gladbach,de Bundesliga,MF,1830,2,1.7,1.7,1,2.1,1.13,0.34,18,91,30,77.9,16,2.2,24,53,105,59,47.2,614,1199
Nicolai Remberg,Holstein Kiel,de Bundesliga,MF,2417,0,1.5,1.5,1,0.8,0.89,0.07,25,80,31,77.9,9,1.1,25,29,74,100,28.0,552,1316
Elvis Rexhbeçaj,Augsburg,de Bundesliga,MF,1785,1,1.4,1.4,1,1.1,1.46,0.25,31,94,82,70.0,16,2.0,19,16,43,22,31.3,463,887
Declan Rice,Arsenal,eng Premier League,MF,2825,4,3.5,3.5,7,6.6,1.53,0.45,90,192,94,83.4,59,5.6,25,25,78,51,48.3,1031,1948
Chris Richards,Crystal Palace,eng Premier League,DF,1922,1,1.4,1.4,0,0.1,0.56,0.28,6,39,2,79.8,2,0.6,30,19,66,121,16.7,517,1118
Fabian Rieder,Stuttgart,de Bundesliga,"MF,FW",867,1,1.4,1.4,3,2.0,2.08,0.73,20,38,61,70.6,12,2.4,14,10,27,7,47.4,253,492
Lars Ritzka,St. Pauli,de Bundesliga,"DF,MF",922,1,0.4,0.4,0,0.2,0.78,0.1,8,21,34,71.5,5,0.3,29,11,60,41,0.0,161,567
Andrew Robertson,Liverpool,eng Premier League,DF,2482,0,1.2,1.2,1,4.6,0.54,0.07,64,176,108,82.7,40,4.3,22,21,60,54,38.9,1107,2084
Antonee Robinson,Fulham,eng Premier League,DF,3167,0,0.7,0.7,10,4.2,0.45,0.06,118,131,274,76.8,43,4.1,61,62,157,133,45.8,1343,2523
Guido Rodríguez,West Ham,eng Premier League,MF,1149,0,0.2,0.2,1,0.2,0.63,0.08,4,33,7,84.4,4,0.2,19,13,49,35,50.0,327,709
Mads Roerslev,Brentford,eng Premier League,DF,1101,0,0.2,0.2,2,3.0,0.41,0.16,17,51,54,78.7,14,2.1,8,4,22,35,36.8,352,645
Morgan Rogers,Aston Villa,eng Premier League,"FW,MF",3114,8,6.6,6.6,10,7.8,1.59,0.58,114,123,188,73.2,51,5.2,22,6,49,20,41.3,794,1362
Merlin Röhl,Freiburg,de Bundesliga,"MF,FW",965,0,0.8,0.8,1,1.7,1.12,0.28,20,22,60,76.0,9,1.1,10,6,22,2,30.0,217,403
Cristian Romero,Tottenham,eng Premier League,DF,1416,1,1.6,1.6,0,0.6,1.02,0.51,12,71,3,89.5,7,0.8,29,21,56,57,25.0,896,1377
Lasse Rosenboom,Holstein Kiel,de Bundesliga,DF,1734,2,1.9,1.9,2,1.1,0.62,0.26,19,34,50,65.1,14,1.2,35,19,66,71,36.8,284,780
Max Rosenfelder,Freiburg,de Bundesliga,DF,1249,1,0.4,0.4,0,0.7,0.36,0.07,24,29,18,85.3,5,0.2,17,7,34,65,56.0,445,826
Tom Rothe,Union Berlin,de Bundesliga,"DF,MF",1670,3,1.8,1.8,3,1.3,1.24,0.49,25,50,91,68.1,12,1.5,28,18,63,57,25.0,456,1074
Anthony Rouault,Stuttgart,de Bundesliga,DF,1212,1,0.5,0.5,0,0.3,0.37,0.07,6,52,4,90.0,6,0.5,11,19,34,63,40.0,573,1014
Georginio Rutter,Brighton,eng Premier League,"MF,FW",1656,5,4.6,4.6,3,2.5,2.72,0.65,42,67,79,66.8,19,1.7,15,10,49,13,38.0,361,641
Julian Ryerson,Dortmund,de Bundesliga,DF,2259,2,0.7,0.7,3,4.5,0.72,0.2,66,92,136,85.3,36,4.8,30,22,68,26,57.1,1002,1684
Frederik Rønnow,Union Berlin,de Bundesliga,GK,2520,0,0.1,0.1,0,0.0,0.04,0.0,0,1,0,68.6,0,0.1,0,0,0,22,100.0,564,980
José Sá,Wolves,eng Premier League,GK,2609,0,0.0,0.0,0,0.2,0.0,0.0,0,2,0,64.1,3,0.0,2,0,2,15,100.0,630,985
Elias Saad,St. Pauli,de Bundesliga,"FW,MF",900,3,2.8,2.8,2,0.8,2.6,0.8,29,27,76,76.2,14,1.1,13,3,23,1,29.6,301,427
Marcel Sabitzer,Dortmund,de Bundesliga,MF,1616,1,1.8,1.8,0,1.6,1.17,0.45,24,97,70,84.8,12,1.6,19,10,39,29,40.0,577,1028
Bukayo Saka,Arsenal,eng Premier League,"FW,MF",1729,6,6.8,6.0,10,7.6,3.44,1.15,96,70,255,75.5,58,7.8,15,3,32,8,45.6,628,979
Mohamed Salah,Liverpool,eng Premier League,FW,3371,29,25.2,18.2,18,14.2,3.23,1.33,154,144,488,70.6,88,9.1,11,9,30,5,42.3,1149,1695
Manolis Saliakas,St. Pauli,de Bundesliga,"MF,DF",2314,2,1.5,1.5,1,2.6,1.13,0.23,28,93,80,71.8,26,2.9,22,20,66,62,33.3,653,1560
William Saliba,Arsenal,eng Premier League,DF,3039,2,2.3,2.3,0,0.9,0.18,0.06,16,138,6,94.3,7,1.3,37,21,83,119,63.2,1756,2824
Robert Sánchez,Chelsea,eng Premier League,GK,2880,0,0.0,0.0,0,0.1,0.0,0.0,0,1,0,69.7,2,0.0,0,2,2,24,,881,1323
Jadon Sancho,Chelsea,eng Premier League,FW,1764,3,2.2,2.2,4,3.7,1.22,0.41,102,90,225,82.6,38,3.1,7,2,15,8,46.4,653,975
Philipp Sander,Gladbach,de Bundesliga,MF,1400,1,1.2,1.2,0,0.6,1.16,0.45,16,60,29,80.9,13,1.0,17,23,56,44,61.1,473,921
Leroy Sané,Bayern Munich,de Bundesliga,FW,1637,11,10.2,10.2,5,5.5,3.68,1.59,75,64,266,82.5,36,6.1,15,7,30,3,39.0,787,1184
Kaishu Sano,Mainz 05,de Bundesliga,MF,3043,0,0.9,0.9,0,1.2,0.59,0.06,53,159,46,80.1,19,2.0,36,65,126,56,62.7,894,1814
Kauã Santos,Eint Frankfurt,de Bundesliga,GK,765,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,69.5,1,0.0,0,0,0,10,,191,326
Pablo Sarabia,Wolves,eng Premier League,"MF,FW",814,3,2.9,2.9,2,1.8,1.88,0.88,15,60,62,69.2,15,1.9,8,4,20,7,40.0,325,552
Ismaila Sarr,Crystal Palace,eng Premier League,MF,2711,8,10.7,10.7,6,8.5,1.96,0.96,75,85,183,66.0,44,6.7,10,9,31,40,27.9,607,1091
Sávio,Manchester City,eng Premier League,"FW,MF",1766,1,5.0,5.0,8,6.9,2.8,1.07,137,67,246,80.8,46,6.1,17,6,29,9,46.0,783,1095
Joe Scally,Gladbach,de Bundesliga,DF,2578,0,0.4,0.4,0,1.1,0.21,0.03,52,68,69,83.4,11,1.3,32,16,61,86,52.5,980,1850
Oliver Scarles,West Ham,eng Premier League,"DF,FW",665,0,0.1,0.1,0,0.1,0.41,0.0,12,22,44,78.8,2,0.1,11,11,32,26,28.6,219,466
Kevin Schade,Brentford,eng Premier League,FW,2293,11,8.2,8.2,2,3.7,2.16,1.06,61,38,165,59.7,23,1.8,25,5,44,34,33.7,434,883
András Schäfer,Union Berlin,de Bundesliga,MF,1534,1,0.6,0.6,1,0.9,0.7,0.06,23,55,42,73.5,10,1.3,26,22,74,36,44.8,362,799
Fabian Schär,Newcastle Utd,eng Premier League,DF,2934,4,3.7,3.7,0,0.4,1.23,0.34,18,118,22,83.7,5,1.0,21,45,81,138,61.5,1438,2319
Patrik Schick,Leverkusen,de Bundesliga,FW,1684,21,12.7,11.9,0,0.6,3.63,1.71,7,21,107,78.0,11,0.9,5,4,10,17,38.5,312,578
Keven Schlotterbeck,Augsburg,de Bundesliga,DF,1297,3,0.8,0.8,1,0.6,0.83,0.28,3,59,2,84.5,7,0.5,17,15,34,73,100.0,424,845
Nico Schlotterbeck,Dortmund,de Bundesliga,DF,1982,0,1.3,1.3,4,2.1,0.77,0.18,37,195,14,89.2,18,2.1,24,22,60,79,63.6,1467,2297
Romano Schmid,Werder Bremen,de Bundesliga,MF,2834,5,4.3,3.5,4,6.2,1.49,0.41,107,279,201,74.5,68,8.8,25,11,54,9,47.4,1315,1988
Jan Schöppner,Heidenheim,de Bundesliga,MF,2681,4,3.9,3.9,3,3.4,1.38,0.44,35,107,48,74.7,25,2.1,30,43,99,95,43.8,704,1440
Léo Scienza,Heidenheim,de Bundesliga,"FW,MF",1153,3,2.0,2.0,3,3.7,2.97,1.17,70,30,90,66.3,34,4.1,12,5,22,9,44.6,368,584
Alex Scott,Bournemouth,eng Premier League,MF,755,0,0.7,0.7,0,0.9,1.79,0.72,15,52,33,83.6,12,1.0,14,10,37,15,23.1,247,485
Nicolas Seiwald,RB Leipzig,de Bundesliga,"MF,DF",2084,0,0.2,0.2,0,1.7,0.22,0.0,17,140,30,82.7,20,2.7,31,31,84,76,40.0,760,1607
Matz Sels,Nott'ham Forest,eng Premier League,GK,3420,0,0.0,0.0,0,0.4,0.0,0.0,1,2,0,52.0,2,0.3,1,0,1,26,,528,1102
Nélson Semedo,Wolves,eng Premier League,DF,2886,0,0.9,0.9,4,2.8,0.56,0.22,67,80,119,80.8,25,1.7,36,23,85,104,45.1,901,1717
Antoine Semenyo,Bournemouth,eng Premier League,FW,3203,11,10.0,10.0,5,5.8,3.51,1.12,140,109,282,73.4,46,4.3,35,11,66,39,51.1,979,1653
Marcos Senesi,Bournemouth,eng Premier League,DF,1106,0,0.8,0.8,0,0.2,0.24,0.0,12,62,7,76.3,3,0.5,21,14,53,58,60.0,554,889
Benjamin Šeško,RB Leipzig,de Bundesliga,"FW,MF",2380,13,10.0,8.4,5,2.1,2.5,1.1,47,46,141,67.6,19,1.7,3,5,12,20,52.0,444,901
Armindo Sieb,Mainz 05,de Bundesliga,"FW,MF",762,2,2.8,2.8,2,1.1,3.43,0.83,28,18,64,69.7,8,0.6,4,1,11,7,30.6,184,333
Tim Siersleben,Heidenheim,de Bundesliga,DF,1182,0,0.6,0.6,0,0.5,0.3,0.15,8,31,12,80.8,6,0.6,14,20,41,66,50.0,472,869
Kiliann Sildillia,Freiburg,de Bundesliga,DF,801,2,0.5,0.5,0,0.7,0.79,0.22,11,29,34,73.2,7,0.7,10,11,28,38,66.7,253,576
Bernardo Silva,Manchester City,eng Premier League,"MF,FW",2670,4,3.9,3.9,4,5.1,1.08,0.37,101,134,200,86.8,53,4.5,37,23,79,32,45.9,1288,2054
Jota Silva,Nott'ham Forest,eng Premier League,"FW,MF",854,3,2.1,2.1,1,2.9,2.42,0.74,21,18,59,60.2,14,1.8,14,12,39,17,29.4,175,357
Xavi Simons,RB Leipzig,de Bundesliga,MF,2150,10,5.1,5.1,6,6.3,2.09,0.96,85,140,185,78.6,51,6.0,21,12,40,19,33.0,869,1557
Danel Sinani,St. Pauli,de Bundesliga,"FW,MF",1250,2,1.7,1.7,2,3.0,2.52,0.86,16,60,64,71.4,24,2.5,11,1,15,13,45.5,297,693
Ibrahima Sissoko,Bochum,de Bundesliga,MF,2610,2,1.7,1.7,1,1.6,0.86,0.28,35,105,69,75.0,27,2.7,44,36,102,61,52.5,691,1429
Tim Skarke,Union Berlin,de Bundesliga,"FW,MF",1164,0,2.1,2.1,2,1.2,1.55,0.7,26,25,96,70.0,16,1.2,11,5,19,17,41.7,293,487
Ellyes Skhiri,Eint Frankfurt,de Bundesliga,MF,2231,1,1.4,1.4,2,1.4,0.52,0.08,17,105,27,88.5,22,2.0,22,31,71,45,73.3,823,1544
Oliver Skipp,Leicester City,eng Premier League,MF,1129,0,0.4,0.4,0,0.3,0.4,0.08,16,35,19,83.5,9,0.3,4,11,32,11,58.3,347,612
Leo Skiri Østigård,Hoffenheim,de Bundesliga,DF,927,0,0.3,0.3,0,0.1,0.49,0.0,0,51,1,83.9,3,0.3,7,9,18,111,66.7,344,747
Robert Skov,Union Berlin,de Bundesliga,"DF,MF",852,2,1.7,0.9,2,2.4,1.69,0.53,25,36,45,65.9,19,3.5,11,8,23,9,29.4,263,564
Steven Skrzybski,Holstein Kiel,de Bundesliga,"MF,FW",1323,6,3.5,2.7,3,2.9,2.18,0.82,17,64,71,70.0,22,3.3,6,11,30,11,59.1,313,619
William Smallbone,Southampton,eng Premier League,MF,690,1,0.6,0.6,0,0.7,0.91,0.13,5,27,25,75.8,10,0.9,13,2,22,14,66.7,193,431
Adam Smith,Bournemouth,eng Premier League,DF,1590,0,0.7,0.7,0,0.4,0.17,0.0,15,49,34,75.7,8,0.7,12,15,39,49,37.5,366,825
Eric Smith,St. Pauli,de Bundesliga,"DF,MF",2827,1,1.4,1.4,1,1.5,0.76,0.29,16,118,11,80.8,28,2.8,29,37,83,104,60.0,838,1956
Emile Smith Rowe,Fulham,eng Premier League,MF,2043,6,4.5,4.5,3,1.4,1.63,0.48,53,126,127,90.1,24,2.0,18,11,42,16,45.7,779,1223
Dominic Solanke,Tottenham,eng Premier League,FW,2201,9,10.9,10.1,3,2.9,2.41,0.98,31,47,88,70.6,14,1.2,11,1,19,23,33.3,385,655
Carlos Soler,West Ham,eng Premier League,"MF,FW",1409,1,1.8,1.8,1,1.4,1.6,0.51,17,56,37,85.2,18,1.9,11,8,24,21,44.4,367,794
Tomáš Souček,West Ham,eng Premier League,MF,2567,9,6.7,6.7,1,1.0,1.93,0.6,9,74,68,73.8,14,1.3,21,20,66,85,50.0,506,1280
Boubakary Soumaré,Leicester City,eng Premier League,MF,2171,0,0.3,0.3,0,0.4,0.29,0.0,34,105,23,87.0,11,1.0,20,27,64,34,60.0,847,1441
Djed Spence,Tottenham,eng Premier League,DF,1792,1,0.6,0.6,2,1.8,0.5,0.15,59,105,70,85.4,11,1.4,34,21,68,74,50.0,794,1428
Anton Stach,Hoffenheim,de Bundesliga,"MF,DF",2585,1,2.0,2.0,2,2.2,1.22,0.35,33,152,36,82.6,26,3.2,46,46,112,101,42.9,1002,1925
Jens Stage,Werder Bremen,de Bundesliga,MF,2204,10,7.2,7.2,5,2.8,1.8,0.61,28,104,89,77.0,23,3.9,30,18,67,42,47.1,668,1271
Josip Stanišić,Bayern Munich,de Bundesliga,DF,876,0,0.3,0.3,2,1.5,0.21,0.0,20,76,30,91.6,14,1.4,11,6,19,29,71.4,533,876
Niklas Stark,Werder Bremen,de Bundesliga,DF,2106,0,1.1,1.1,1,0.1,0.51,0.13,7,62,3,85.6,1,0.3,21,36,69,129,100.0,882,1558
Jack Stephens,Southampton,eng Premier League,DF,1389,1,0.6,0.6,0,0.2,0.26,0.13,14,63,2,92.0,3,0.3,20,13,47,53,0.0,631,1097
Leonidas Stergiou,Stuttgart,de Bundesliga,DF,852,1,1.1,1.1,2,0.9,0.32,0.11,11,39,32,82.4,4,0.7,13,14,38,39,66.7,339,642
Angelo Stiller,Stuttgart,de Bundesliga,MF,2741,1,1.8,1.8,8,7.2,0.69,0.13,39,289,69,87.4,59,8.6,27,26,75,50,66.7,1588,2781
Kevin Stöger,Gladbach,de Bundesliga,MF,1551,3,3.9,2.3,3,5.3,1.39,0.52,40,121,95,75.8,54,4.2,21,16,53,26,47.2,699,1318
Jakub Stolarczyk,Leicester City,eng Premier League,GK,900,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,61.7,0,0.0,1,0,2,6,,221,411
Jørgen Strand Larsen,Wolves,eng Premier League,FW,2587,14,10.3,10.3,4,3.0,1.88,1.15,17,29,112,64.6,21,1.0,6,6,16,29,40.0,345,736
Yukinari Sugawara,Southampton,eng Premier League,"DF,MF",1557,1,0.5,0.5,1,2.2,0.81,0.29,33,72,78,80.0,17,2.5,18,11,42,53,45.0,564,1066
Niklas Süle,Dortmund,de Bundesliga,DF,1053,0,0.6,0.6,0,0.1,0.77,0.17,15,47,10,92.8,3,0.4,12,4,18,46,42.9,668,1038
Kamaldeen Sulemana,Southampton,eng Premier League,"FW,MF",1402,1,1.5,1.5,1,1.0,1.86,0.51,63,27,87,79.8,10,0.8,17,6,28,9,37.9,380,587
Crysencio Summerville,West Ham,eng Premier League,"FW,MF",786,1,1.6,1.6,1,1.7,1.6,0.46,29,18,71,76.4,17,1.7,7,0,13,7,33.3,207,372
Mattias Svanberg,Wolfsburg,de Bundesliga,MF,1219,3,3.6,3.6,1,1.7,1.55,0.52,11,36,39,68.7,13,1.6,10,15,35,26,40.0,235,520
Daniel Svensson,Dortmund,de Bundesliga,"DF,FW",781,1,0.8,0.8,3,1.2,0.69,0.23,11,41,51,79.3,10,1.3,11,5,20,30,20.0,303,580
Sammie Szmodics,Ipswich Town,eng Premier League,"FW,MF",992,4,3.4,3.4,0,0.2,1.91,1.09,16,19,47,74.1,5,0.5,10,6,22,14,33.3,179,318
Dominik Szoboszlai,Liverpool,eng Premier League,MF,2491,6,7.3,7.3,6,7.4,2.42,0.79,72,131,127,84.3,56,5.9,20,9,47,19,51.2,805,1584
Haris Tabakovic,Hoffenheim,de Bundesliga,FW,821,3,3.3,3.3,1,1.2,3.29,1.1,4,7,45,62.9,9,0.9,1,1,4,16,33.3,165,334
Jonathan Tah,Leverkusen,de Bundesliga,DF,2970,3,1.1,1.1,0,0.4,0.73,0.21,15,169,9,92.9,4,1.9,12,36,55,157,60.0,1551,2626
Edmond Tapsoba,Leverkusen,de Bundesliga,DF,2507,0,1.1,1.1,0,0.2,0.75,0.07,52,164,17,86.4,4,1.3,24,24,63,89,57.9,1326,2214
James Tarkowski,Everton,eng Premier League,DF,2922,1,1.3,1.3,1,2.9,0.46,0.12,9,75,3,81.0,16,2.4,40,41,105,213,71.4,727,1706
Marcus Tavernier,Bournemouth,eng Premier League,"FW,MF",1939,3,5.5,5.5,5,4.0,2.65,0.79,53,128,129,73.8,43,3.6,24,5,48,11,43.1,705,1196
Jack Taylor,Ipswich Town,eng Premier League,MF,860,1,0.7,0.7,0,0.5,1.99,0.42,11,43,23,82.9,5,0.8,10,9,29,24,36.4,254,534
Mathys Tel,Tottenham,eng Premier League,FW,911,2,3.0,2.2,1,2.6,2.17,0.79,28,21,72,69.5,14,1.5,6,2,18,8,28.3,266,414
Nathan Tella,Leverkusen,de Bundesliga,"MF,FW",1359,2,3.1,3.1,4,1.5,1.85,0.66,38,22,130,74.6,18,1.6,11,4,20,10,37.3,308,529
Kenny Tete,Fulham,eng Premier League,DF,1774,0,1.4,1.4,2,0.9,1.22,0.1,34,63,54,80.8,9,0.7,38,32,88,67,45.0,611,1205
Arthur Theate,Eint Frankfurt,de Bundesliga,DF,2704,0,2.4,2.4,0,1.0,1.2,0.3,50,171,24,82.6,13,1.7,25,39,75,170,76.9,1321,2230
Luke Thomas,Leicester City,eng Premier League,DF,1110,0,0.4,0.4,0,0.5,0.41,0.0,5,37,16,78.4,9,0.5,25,21,52,49,50.0,371,775
Youri Tielemans,Aston Villa,eng Premier League,MF,3026,3,3.3,2.5,7,7.0,1.19,0.36,39,235,48,82.2,60,5.7,58,23,107,47,50.8,1288,2385
Phillip Tietz,Augsburg,de Bundesliga,FW,1686,7,6.1,5.3,2,1.2,2.72,1.01,8,29,113,62.4,22,1.4,6,5,16,26,48.4,347,677
Jurriën Timber,Arsenal,eng Premier League,DF,2417,1,1.2,1.2,3,0.8,0.52,0.15,57,146,104,85.6,17,1.3,38,22,80,44,45.3,890,1661
Jean-Clair Todibo,West Ham,eng Premier League,DF,1825,0,0.4,0.4,0,0.0,0.25,0.0,9,38,5,87.9,2,0.1,28,26,73,83,56.3,760,1297
John Tolkin,Holstein Kiel,de Bundesliga,"DF,MF",737,0,0.1,0.1,2,0.7,0.37,0.0,6,17,12,67.9,11,1.1,11,8,26,54,50.0,174,479
Tiago Tomás,Wolfsburg,de Bundesliga,"FW,MF",1884,6,5.4,5.4,1,2.6,2.01,0.96,31,50,125,69.3,20,1.5,19,9,42,19,36.3,503,782
Sandro Tonali,Newcastle Utd,eng Premier League,MF,2630,4,4.4,4.4,2,2.2,1.2,0.41,37,128,53,83.7,28,2.8,32,34,85,33,54.1,979,1818
Pau Torres,Aston Villa,eng Premier League,DF,2020,0,0.5,0.5,0,0.1,0.36,0.09,40,97,8,88.9,3,0.4,15,10,31,75,88.2,965,1518
Bazoumana Touré,Hoffenheim,de Bundesliga,"FW,MF",609,0,1.4,1.4,3,1.9,2.81,0.74,24,14,56,66.8,13,1.8,10,3,15,2,54.5,183,291
Adama Traoré,Fulham,eng Premier League,"FW,MF",1772,2,4.0,4.0,7,4.9,1.98,0.61,100,68,161,72.2,42,4.5,13,1,21,6,49.5,538,801
Omar Traoré,Heidenheim,de Bundesliga,DF,2616,0,0.5,0.5,1,1.6,0.55,0.1,103,117,115,70.7,20,3.3,26,21,71,66,39.1,922,1712
Kevin Trapp,Eint Frankfurt,de Bundesliga,GK,2295,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,73.2,0,0.0,0,0,0,13,,642,1001
Philipp Treu,St. Pauli,de Bundesliga,"MF,DF",2881,0,1.2,1.2,2,2.5,0.59,0.12,58,105,117,80.0,22,2.8,42,19,80,87,33.3,825,1867
Christopher Trimmel,Union Berlin,de Bundesliga,"DF,MF",1740,0,0.2,0.2,3,2.1,0.47,0.16,18,73,45,60.5,35,3.2,25,18,56,92,25.0,365,979
Kieran Trippier,Newcastle Utd,eng Premier League,DF,1309,0,0.1,0.1,3,1.4,0.28,0.0,26,117,58,82.5,22,1.5,21,12,50,49,50.0,609,1388
Leandro Trossard,Arsenal,eng Premier League,FW,2546,8,7.2,7.2,7,6.1,2.55,0.74,80,101,226,74.5,41,4.1,20,9,40,18,44.2,828,1278
Kostas Tsimikas,Liverpool,eng Premier League,DF,837,0,0.4,0.4,1,2.1,0.43,0.22,17,76,43,84.1,16,2.3,20,11,42,20,41.7,368,741
Axel Tuanzebe,Ipswich Town,eng Premier League,DF,1710,0,0.2,0.2,1,0.3,0.21,0.0,10,61,15,83.8,5,0.3,19,23,54,56,40.0,402,971
Tuta,Eint Frankfurt,de Bundesliga,"DF,MF",2274,2,1.1,1.1,1,0.3,0.51,0.2,11,78,12,87.7,4,0.7,27,40,84,135,76.5,1007,1772
