Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches
Wes Burns,Ipswich Town,eng Premier League,"FW,DF",926,0,0.5,0.5,1,1.6,0.68,0.1,38,8,65,60.5,10,1.2,11,10,23,13,37.5,216,350
Marnon Busch,Heidenheim,de Bundesliga,"DF,MF",1396,0,0.4,0.4,1,1.1,0.84,0.19,22,63,43,72.7,12,1.8,17,13,39,65,37.5,495,1030
Anthony Caci,Mainz 05,de Bundesliga,DF,2684,1,3.1,3.1,7,6.6,1.07,0.4,45,133,152,71.8,50,7.9,40,27,87,47,45.3,960,1973
Moisés Caicedo,Chelsea,eng Premier League,"MF,DF",3351,1,0.8,0.8,2,3.0,0.54,0.08,43,215,37,89.7,30,2.8,73,49,163,60,45.3,1409,2579
Tom Cairney,Fulham,eng Premier League,MF,628,2,0.8,0.8,0,1.1,1.58,0.57,18,53,33,90.7,11,1.2,5,4,17,3,38.5,456,683
Jens Cajuste,Ipswich Town,eng Premier League,MF,1959,1,0.7,0.7,1,0.8,0.55,0.05,26,59,20,82.6,13,0.7,22,28,72,33,52.8,481,1017
Riccardo Calafiori,Arsenal,eng Premier League,DF,983,2,0.9,0.9,1,0.3,0.92,0.55,22,54,29,85.6,6,0.7,19,9,36,25,69.2,308,653
Dominic Calvert-Lewin,Everton,eng Premier League,FW,1609,3,6.7,6.7,1,0.6,2.8,1.06,23,20,112,62.6,7,0.7,7,7,16,23,40.0,280,520
Emre Can,Dortmund,de Bundesliga,"DF,MF",2105,3,2.0,0.4,0,0.7,0.3,0.04,20,116,12,89.5,8,1.4,28,20,70,89,57.7,1405,2156
Diego Carlos,Aston Villa,eng Premier League,DF,830,0,0.6,0.6,0,0.0,0.43,0.11,3,34,0,88.6,0,0.1,3,5,13,36,100.0,419,674
Casemiro,Manchester Utd,eng Premier League,MF,1494,1,1.9,1.9,0,2.3,1.93,0.6,4,84,28,78.8,22,2.0,50,14,97,51,50.0,660,1250
Matty Cash,Aston Villa,eng Premier League,DF,2070,1,0.5,0.5,1,1.1,0.57,0.26,48,42,90,77.5,10,1.3,32,23,79,70,47.5,595,1186
Timothy Castagne,Fulham,eng Premier League,DF,1649,0,0.4,0.4,1,1.2,0.44,0.16,17,62,67,81.8,9,0.6,29,22,68,83,41.7,547,1164
Julian Chabot,Stuttgart,de Bundesliga,DF,2269,3,2.0,1.8,1,0.5,0.75,0.12,7,108,5,89.9,6,0.8,24,38,75,135,60.0,1354,2239
El Chadaille Bitshiabu,RB Leipzig,de Bundesliga,DF,1130,0,0.3,0.3,0,0.4,0.4,0.24,4,69,2,84.4,5,0.6,18,13,40,97,66.7,516,1058
Fares Chaïbi,Eint Frankfurt,de Bundesliga,"MF,FW",1013,1,2.6,2.6,3,2.9,2.22,0.53,20,52,73,65.8,24,2.9,9,10,23,32,58.3,288,588
Trevoh Chalobah,Crystal Palace,eng Premier League,DF,1060,3,1.2,1.2,0,0.4,0.93,0.34,11,34,6,79.0,4,0.3,16,19,39,57,60.0,278,594
Trevoh Chalobah,Chelsea,eng Premier League,DF,910,0,0.8,0.8,1,1.2,0.69,0.2,4,37,2,90.0,3,0.3,7,10,21,48,40.0,426,774
Conor Chaplin,Ipswich Town,eng Premier League,"MF,FW",857,1,1.5,1.5,1,0.7,1.68,0.32,13,29,23,73.7,8,0.6,5,4,19,3,50.0,179,390
Anrie Chase,Stuttgart,de Bundesliga,DF,734,0,0.1,0.1,0,0.0,0.61,0.0,6,28,2,91.9,0,0.5,4,9,19,35,40.0,334,622
Arthur Chaves,Hoffenheim,de Bundesliga,DF,2185,1,0.8,0.8,0,0.1,0.41,0.08,10,57,13,82.1,5,0.4,36,37,88,136,30.0,740,1513
Ryan Christie,Bournemouth,eng Premier League,MF,2117,2,1.8,1.8,3,3.5,1.4,0.51,34,137,44,79.3,41,3.0,33,30,84,51,47.9,726,1376
Jack Clarke,Ipswich Town,eng Premier League,"FW,MF",1181,0,1.2,1.2,4,2.3,1.3,0.15,39,44,57,76.8,28,1.2,20,7,39,29,50.0,311,553
Alexis Claude-Maurice,Augsburg,de Bundesliga,"MF,FW",2109,9,4.7,4.7,2,1.2,2.52,0.94,59,61,102,82.9,21,1.9,26,15,56,8,46.7,619,994
Conor Coady,Leicester City,eng Premier League,DF,1714,1,0.4,0.4,0,0.1,0.11,0.11,3,32,0,91.1,1,0.5,9,13,26,71,50.0,789,1210
Nathan Collins,Brentford,eng Premier League,DF,3420,2,2.5,2.5,3,1.8,0.45,0.16,32,127,18,85.9,10,1.6,24,34,74,226,50.0,1289,2435
Nnamdi Collins,Eint Frankfurt,de Bundesliga,DF,1489,1,0.8,0.8,1,1.0,0.3,0.12,30,63,42,86.3,2,1.2,24,16,49,74,35.3,623,1107
Levi Colwill,Chelsea,eng Premier League,DF,3149,2,1.9,1.9,1,1.1,0.49,0.11,14,131,12,89.3,14,1.2,34,33,80,118,50.0,1621,2904
Kingsley Coman,Bayern Munich,de Bundesliga,FW,1282,5,4.3,4.3,4,3.3,3.09,1.19,66,45,215,84.3,32,4.2,12,8,25,15,52.7,606,934
