player,moving_from,moving_to,fee,date,register_country
Kai Pröger,VfL Osnabrück,VfB Oldenburg,toVfB Oldenburg,Summer 2026,Germany
Kevin Schumacher,VfL Osnabrück,TSV Havelse,toTSV Havelse,Summer 2026,Germany
Luc Ihorst,VfL Osnabrück,Kickers Emden,toKickers Emden,Summer 2026,Germany
Lukas Jonsson,VfL Osnabrück,Djurgården,toDjurgården,Summer 2026,Germany
Mats Remberg,VfL Osnabrück,1. FC Bocholt,to1. FC Bocholt,Summer 2026,Germany
Lion Semić,VfL Osnabrück,Greifswalder FC,"on loan toGreifswalder FC, previously on loan atHelmond Sport",Summer 2026,Germany
Ibrahim Touray,VfL Osnabrück,Kickers Emden,"on loan toKickers Emden, previously on loan atSSV Jeddeloh",Summer 2026,Germany
Rohin Shivani,VfL Osnabrück,Sportfreunde Lotte,"on loan toSportfreunde Lotte, previously on loan atVfB Lübeck",Summer 2026,Germany
Finn Cramer,VfL Osnabrück,BFC Preussen,"toBFC Preussen, previously on loan atSSV Jeddeloh",Summer 2026,Germany
Marcel Lotka,Fortuna Düsseldorf,Energie Cottbus,fromFortuna Düsseldorf,Summer 2026,Germany
King Manu,Fortuna Düsseldorf,Energie Cottbus,"fromFortuna Düsseldorf, previously on loan",Summer 2026,Germany
Christian Kinsombi,Hansa Rostock,Energie Cottbus,fromHansa Rostock,Summer 2026,Germany
Ryan Malone,Erzgebirge Aue,Energie Cottbus,fromErzgebirge Aue,Summer 2026,Germany
Julian Guttau,Erzgebirge Aue,Energie Cottbus,fromErzgebirge Aue,Summer 2026,Germany
Yusuf Wardak,Waldhof Mannheim,Energie Cottbus,"fromWaldhof Mannheim, previously on loan atVfB Lübeck",Summer 2026,Germany
Fousseny Doumbia,Eintracht Frankfurt II,Energie Cottbus,on loan fromEintracht Frankfurt II,Summer 2026,Germany
Kevin Kratzsch,Rot-Weiß Oberhausen,Energie Cottbus,fromRot-Weiß Oberhausen,Summer 2026,Germany
Tolga Ciğerci,Energie Cottbus,VSG Altglienicke,toVSG Altglienicke,Summer 2026,Germany
Mladen Cvjetinović,Energie Cottbus,Holstein Kiel,loan return toHolstein Kiel,Summer 2026,Germany
Ted Tattermusch,Energie Cottbus,VSG Altglienicke,toVSG Altglienicke,Summer 2026,Germany
Dennis Slamar,Energie Cottbus,Chemnitzer FC,toChemnitzer FC,Summer 2026,Germany
Finn Heidrich,Energie Cottbus,Erzgebirge Aue,toErzgebirge Aue,Summer 2026,Germany
Janis Juckel,Energie Cottbus,Greifswalder FC,toGreifswalder FC,Summer 2026,Germany
Gianluca Pelzer,Energie Cottbus,Eintracht Trier,"on loan toEintracht Trier, previously on loan atVfB Lübeck",Summer 2026,Germany
Ville Koski,Istra 1961,Alavés,"fromIstra 1961, previously on loan",Summer 2026,Spain
Miguel Rodríguez,Utrecht,Alavés,fromUtrecht,Summer 2026,Spain
Mikel Rodríguez,Real Sociedad B,Alavés,fromReal Sociedad B,Summer 2026,Spain
Nicolás Valentini,Fiorentina,Alavés,fromFiorentina,Summer 2026,Spain
Calebe,Alavés,Fortaleza,"loan return toFortaleza, later loaned toInternacional",Summer 2026,Spain
Moussa Diarra,Alavés,Al Wahda,"toAl Wahda, previously on loan atAnderlecht",Summer 2026,Spain
Ibrahim Diabate,Alavés,GAIS,loan return toGAIS,Summer 2026,Spain
Raúl Fernández,Alavés,Leganés,toLeganés,Summer 2026,Spain
Jon Guridi,Alavés,Sevilla,toSevilla,Summer 2026,Spain
Jesús Owono,Alavés,Andorra,"toAndorra, previously on loan",Summer 2026,Spain
Jon Pacheco,Alavés,Real Sociedad,loan return toReal Sociedad,Summer 2026,Spain
Víctor Parada,Alavés,Spartak Moscow,toSpartak Moscow,Summer 2026,Spain
Asier Villalibre,Alavés,Racing de Santander,"toRacing de Santander, previously on loan",Summer 2026,Spain
Unai Gómez,Athletic Bilbao,Udinese,toUdinese,Summer 2026,Spain
Urko Izeta,Athletic Bilbao,Cádiz,toCádiz,Summer 2026,Spain
