player,moving_from,moving_to,fee,date,register_country
Mihailo Ristić,Celta Vigo,TBD,to TBD,Summer 2026,Spain
Hugo Sotelo,Celta Vigo,Levante,on loan toLevante,Summer 2026,Spain
Marc Vidal,Celta Vigo,TBD,to TBD,Summer 2026,Spain
Lorenzo Amatucci,Fiorentina,Deportivo A Coruña,"fromFiorentina, previously on loan atLas Palmas",Summer 2026,Spain
Pierre-Emerick Aubameyang,Olympique Marseille,Deportivo A Coruña,fromOlympique Marseille,Summer 2026,Spain
Jonathan Asp Jensen,Bayern Munich II,Deportivo A Coruña,"fromBayern Munich II, previously on loan atGrasshopper",Summer 2026,Spain
Bright Ede,Motor Lublin,Deportivo A Coruña,fromMotor Lublin,Summer 2026,Spain
Teun Gijselhart,De Graafschap,Deportivo A Coruña,fromDe Graafschap,Summer 2026,Spain
Leo Román,Mallorca,Deportivo A Coruña,fromMallorca,Summer 2026,Spain
Sergio Escudero,Deportivo A Coruña,Zaragoza,toZaragoza,Summer 2026,Spain
José Gragera,Deportivo A Coruña,Espanyol,"loan return toEspanyol, later loaned toBurgos",Summer 2026,Spain
Cristian Herrera,Deportivo A Coruña,TBD,to TBD,Summer 2026,Spain
Fer Niño,Burgos,Elche,fromBurgos,Summer 2026,Spain
Rafa Mir,Elche,Sevilla,"loan return toSevilla, later TBD",Summer 2026,Spain
Léo Pétrot,Elche,Anderlecht,toAnderlecht,Summer 2026,Spain
Álvaro Rodríguez,Elche,Bournemouth,toBournemouth,Summer 2026,Spain
André Silva,Elche,Porto,toPorto,Summer 2026,Spain
Álex Calatrava,Castellón,Espanyol,fromCastellón,Summer 2026,Spain
Quilindschy Hartman,Burnley,Espanyol,on loan fromBurnley,Summer 2026,Spain
Gabriel Moscardo,Paris Saint-Germain,Espanyol,"on loan fromParis Saint-Germain, previously on loan atBraga",Summer 2026,Spain
Fernando Calero,Espanyol,Málaga,toMálaga,Summer 2026,Spain
Antoniu Roca,Espanyol,Mallorca,on loan toMallorca,Summer 2026,Spain
Carlos Romero,Espanyol,Villarreal,loan return toVillarreal,Summer 2026,Spain
José Salinas,Espanyol,Málaga,on loan toMálaga,Summer 2026,Spain
Ramon Terrats,Espanyol,Villarreal,"loan return toVillarreal, later signed byGetafe",Summer 2026,Spain
Andrés García,Aston Villa,Getafe,on loan fromAston Villa,Summer 2026,Spain
Ramón Terrats,Villarreal,Getafe,"fromVillarreal, previouly on loan atEspanyol",Summer 2026,Spain
Jean Ives Valou,Villarreal B,Getafe,on loan fromVillarreal B,Summer 2026,Spain
Mauro Arambarri,Getafe,River Plate,toRiver Plate,Summer 2026,Spain
Domingos Duarte,Getafe,TBD,to TBD,Summer 2026,Spain
Juan Iglesias,Getafe,Sevilla,toSevilla,Summer 2026,Spain
Allan Nyom,Getafe,TBD,to TBD,Summer 2026,Spain
Diego Rico,Getafe,TBD,to TBD,Summer 2026,Spain
Luis Vázquez,Getafe,Anderlecht,"loan return toAnderlecht, later signed byBirmingham City",Summer 2026,Spain
Enzo Bardeli,Dunkerque,Levante,fromDunkerque,Summer 2026,Spain
Aïssa Mandi,Lille,Levante,fromLille,Summer 2026,Spain
Dani Requena,Villarreal,Levante,"on loan fromVillarreal, previously on loan atCórdoba",Summer 2026,Spain
Pablo Martínez,Levante,TBD,to TBD,Summer 2026,Spain
José Luis Morales,Levante,TBD,to TBD,Summer 2026,Spain
Diego Pampín,Levante,Granada,toGranada,Summer 2026,Spain
Ugo Raghouber,Levante,Lille,"loan return toLille, later signed byBurnley",Summer 2026,Spain
Mathew Ryan,Levante,TBD,to TBD,Summer 2026,Spain
Juan Cruz,Leganés,Málaga,on loan fromLeganés,Summer 2026,Spain
Darko Brašanac,Málaga,TBD,to TBD,Summer 2026,Spain
Josué Dorrio,Málaga,TBD,to TBD,Summer 2026,Spain
Jokin Gabilondo,Málaga,Zaragoza,toZaragoza,Summer 2026,Spain
Víctor García,Málaga,TBD,to TBD,Summer 2026,Spain
Javi Montero,Málaga,TBD,to TBD,Summer 2026,Spain
Jonathan Dubasin,Sporting Gijón,Osasuna,fromSporting Gijón,Summer 2026,Spain
Juan Cruz,Osasuna,Oviedo,toOviedo,Summer 2026,Spain
Víctor Muñoz,Osasuna,Liverpool,toLiverpool,Summer 2026,Spain
Sergio Canales,Monterrey,Racing Santander,fromMonterrey,Summer 2026,Spain
Yassir Zabiri,Rennes,Racing Santander,on loan fromRennes,Summer 2026,Spain
Aritz Aldasoro,Racing Santander,Oviedo,on loan toOviedo,Summer 2026,Spain
Javi Castro,Racing Santander,Cádiz,toCádiz,Summer 2026,Spain
Jokin Ezkieta,Racing Santander,Cádiz,on loan toCádiz,Summer 2026,Spain
Mario García,Racing Santander,Widzew Łódź,toWidzew Łódź,Summer 2026,Spain
Jaime Mata,Racing Santander,TBD,to TBD,Summer 2026,Spain
Damían Rodríguez,Racing Santander,Celta Vigo,"loan return toCelta Vigo, later TBD",Summer 2026,Spain
Marco Sangalli,Racing Santander,TBD,to TBD,Summer 2026,Spain
Pacha Espino,Rayo Vallecano,Racing Avellaneda,toRacing Avellaneda,Summer 2026,Spain
Abdul Mumin,Rayo Vallecano,TBD,to TBD,Summer 2026,Spain
Marc Cucurella,Chelsea,Real Madrid,fromChelsea,Summer 2026,Spain
Denzel Dumfries,Inter Milan,Real Madrid,fromInter Milan,Summer 2026,Spain
Ibrahima Konaté,Liverpool,Real Madrid,fromLiverpool,Summer 2026,Spain
Bernardo Silva,Manchester City,Real Madrid,fromManchester City,Summer 2026,Spain
Endrick,Lyon,Real Madrid,loan return fromLyon,Summer 2026,Spain
Carlos Espí,Levante,Real Madrid,fromLevante,Summer 2026,Spain
David Alaba,Real Madrid,TBD,to TBD,Summer 2026,Spain
Dani Carvajal,Real Madrid,TBD,to TBD,Summer 2026,Spain
Dani Ceballos,Real Madrid,Betis,toBetis,Summer 2026,Spain
Aritz Elustondo,Real Sociedad,PAOK Thessaloniki,toPAOK Thessaloniki,Summer 2026,Spain
Brais Méndez,Real Sociedad,Columbus Crew,toColumbus Crew,Summer 2026,Spain
Julio Díaz,Atlético Madrid B,Sevilla,fromAtlético Madrid B,Summer 2026,Spain
Arouna Sangante,Le Havre,Sevilla,fromLe Havre,Summer 2026,Spain
Akor Adams,Sevilla,Venezia,toVenezia,Summer 2026,Spain
Nemanja Gudelj,Sevilla,TBD,to TBD,Summer 2026,Spain
Tanguy Nianzou,Sevilla,Lille,toLille,Summer 2026,Spain
Justin de Haas,Famalicão,Valencia,fromFamalicão,Summer 2026,Spain
Aliou Dieng,Al-Ahly,Valencia,fromAl-Ahly,Summer 2026,Spain
Ryunosuke Sato,FC Tokyo,Valencia,fromFC Tokyo,Summer 2026,Spain
Lucas Beltrán,Valencia,Fiorentina,"loan return toFiorentina, later loaned toRiver Plate",Summer 2026,Spain
Eray Cömert,Valencia,Torino,toTorino,Summer 2026,Spain
Thierry Correia,Valencia,Venezia,toVenezia,Summer 2026,Spain
Baptiste Santamaria,Valencia,PAOK Thessaloniki,toPAOK Thessaloniki,Summer 2026,Spain
Dani Parejo,Villarreal,TBD,to TBD,Summer 2026,Spain
Arnau Tenas,Villarreal,Mallorca,on loan toMallorca,Summer 2026,Spain
José Corpas,Eibar,Albacete,fromEibar,Summer 2026,Spain
Carlos Marín,Córdoba,Albacete,fromCórdoba,Summer 2026,Spain
Sergio Ortuño,Cádiz,Albacete,fromCádiz,Summer 2026,Spain
Mario Soberón,Zaragoza,Albacete,fromZaragoza,Summer 2026,Spain
Jefté Betancor,Albacete,Olympiacos,"loan return toOlympiacos, later signed byLas Palmas",Summer 2026,Spain
Jonathan Gómez,Albacete,PAOK Thessaloniki,loan return toPAOK Thessaloniki,Summer 2026,Spain
José Carlos Lazo,Albacete,TBD,to TBD,Summer 2026,Spain
Raúl Lizoain,Albacete,Granada,toGranada,Summer 2026,Spain
Ale Meléndez,Albacete,Ceuta,toCeuta,Summer 2026,Spain
Brian Cipenga,Castellón,Almería,fromCastellón,Summer 2026,Spain
Quim Junyent,Barcelona Juvenil A,Almería,fromBarcelona Juvenil A,Summer 2026,Spain
Andrej Popović,Hellas Verona Primavera,Almería,fromHellas Verona Primavera,Summer 2026,Spain
Jorge Pulido,Huesca,Almería,fromHuesca,Summer 2026,Spain
Álex Sola,Granada,Almería,fromGranada,Summer 2026,Spain
Álex Centelles,Almería,Levski Sofia,toLevski Sofia,Summer 2026,Spain
Arnau Puigmal,Almería,Mallorca,toMallorca,Summer 2026,Spain
Jordi Cano,Europa,Andorra,fromEuropa,Summer 2026,Spain
Andoni López,Ponferradina,Andorra,fromPonferradina,Summer 2026,Spain
Nacho Quintana,Eldense,Andorra,fromEldense,Summer 2026,Spain
Julian Rijkhoff,Jong Ajax,Andorra,on loan fromJong Ajax,Summer 2026,Spain
Aron Rodrigo,Huesca B,Andorra,fromHuesca B,Summer 2026,Spain
Randy Schneider,Winterthur,Andorra,fromWinterthur,Summer 2026,Spain
Juan Sebastián,Zaragoza,Andorra,fromZaragoza,Summer 2026,Spain
Moró Sidibe,Atlètic Lleida,Andorra,fromAtlètic Lleida,Summer 2026,Spain
Hugo Solozábal,Getafe B,Andorra,fromGetafe B,Summer 2026,Spain
Yeray Cabanzón,Andorra,Racing Santander,"loan return toRacing Santander, later signed byValladolid",Summer 2026,Spain
Marc Cardona,Andorra,TBD,to TBD,Summer 2026,Spain
Imanol García de Albéniz,Andorra,Sparta Prague,"loan return toSparta Prague, later signed byEibar",Summer 2026,Spain
Jastin García,Andorra,Girona,loan return toGirona,Summer 2026,Spain
Álvaro Martín,Andorra,Castellón,toCastellón,Summer 2026,Spain
Manu Nieto,Andorra,Eldense,toEldense,Summer 2026,Spain
Álex Petxarroman,Andorra,Deportivo A Coruña,"loan return toDeportivo A Coruña, later signed byCeuta",Summer 2026,Spain
Dani Villahermosa,Andorra,Oviedo,toOviedo,Summer 2026,Spain
Alberto Dadie,Real Sociedad B,Burgos,fromReal Sociedad B,Summer 2026,Spain
José Gragera,Espanyol,Burgos,"on loan fromEspanyol, previously on loan atDeportivo A Coruña",Summer 2026,Spain
Javi Llabrés,Mallorca,Burgos,fromMallorca,Summer 2026,Spain
Miguel Atienza,Burgos,Leganés,toLeganés,Summer 2026,Spain
Aitor Buñuel,Burgos,TBD,to TBD,Summer 2026,Spain
Iñigo Córdoba,Burgos,Castellón,toCastellón,Summer 2026,Spain
Mario González,Burgos,Noah,toNoah,Summer 2026,Spain
Florian Miguel,Burgos,Metz,toMetz,Summer 2026,Spain
Iván Morante,Burgos,Girona,toGirona,Summer 2026,Spain
Jesús Ruiz,Burgos,Mirandés,toMirandés,Summer 2026,Spain
José Andújar,Atlético Sanluqueño,Cádiz,fromAtlético Sanluqueño,Summer 2026,Spain
Beñat de Jesús,Barakaldo,Cádiz,fromBarakaldo,Summer 2026,Spain
Vladyslav Kopotun,Alcorcón,Cádiz,fromAlcorcón,Summer 2026,Spain
Ibon Sánchez,Bilbao Athletic,Cádiz,fromBilbao Athletic,Summer 2026,Spain
Kenan Toibibou,Bravo,Cádiz,fromBravo,Summer 2026,Spain
Victor Aznar,Cádiz,Lion City Sailors,toLion City Sailors,Summer 2026,Spain
Yussi Diarra,Cádiz,Córdoba,on loan toCórdoba,Summer 2026,Spain
Álex Fernández,Cádiz,Dibba Al-Hisn,toDibba Al-Hisn,Summer 2026,Spain
Roger Martí,Cádiz,TBD,to TBD,Summer 2026,Spain
Jorge Moreno,Cádiz,Tenerife,toTenerife,Summer 2026,Spain
Brian Ocampo,Cádiz,Coritiba,toCoritiba,Summer 2026,Spain
Lucas Pérez,Cádiz,TBD,to TBD,Summer 2026,Spain
Hamza Bellari,Valencia Mestalla,Castellón,"fromValencia Mestalla, previously on loan atEldense",Summer 2026,Spain
Fran Castillo,Ibiza,Castellón,fromIbiza,Summer 2026,Spain
Antonio Gala,Campobasso,Castellón,fromCampobasso,Summer 2026,Spain
Juanjo Nieto,Celje,Castellón,fromCelje,Summer 2026,Spain
David Nzanza,Leça,Castellón,fromLeça,Summer 2026,Spain
Rodrigo Rêgo,Brighton & Hove Albion,Castellón,"on loan fromBrighton & Hove Albion, previously atBenfica B",Summer 2026,Spain
Amir Saipi,Lugano,Castellón,fromLugano,Summer 2026,Spain
Jari Vlak,ADO Den Haag,Castellón,fromADO Den Haag,Summer 2026,Spain
Amir Abedzadeh,Castellón,TBD,to TBD,Summer 2026,Spain
Ismael Fadel,Castellón,Ibiza,on loan toIbiza,Summer 2026,Spain
Ronaldo Pompeu,Castellón,TBD,to TBD,Summer 2026,Spain
Salva Ruiz,Castellón,Huesca,toHuesca,Summer 2026,Spain
Jaime Vázquez,Celta Fortuna,Oviedo,"loan return toOviedo, later TBD",Summer 2026,Spain
Álex Camacho,Juventud Torremolinos,Ceuta,fromJuventud Torremolinos,Summer 2026,Spain
Jordi Escobar,Huesca,Ceuta,fromHuesca,Summer 2026,Spain
Kenneth Mamah,Vanspor,Ceuta,fromVanspor,Summer 2026,Spain
Álex Petxarroman,Deportivo A Coruña,Ceuta,"fromDeportivo A Coruña, previously on loan atAndorra",Summer 2026,Spain
Omar Sadik,Espanyol,Ceuta,"on loan fromEspanyol, previously on loan atPau",Summer 2026,Spain
Cedric Teguía,Moreirense,Ceuta,fromMoreirense,Summer 2026,Spain
Aisar Ahmed,Ceuta,Oviedo,toOviedo,Summer 2026,Spain
Gonzalo Almenara,Ceuta,Ibiza,toIbiza,Summer 2026,Spain
Konrad de la Fuente,Ceuta,Lausanne,"loan return toLausanne, later signed bySporting Gijón",Summer 2026,Spain
Rubén Díez,Ceuta,Zaragoza,toZaragoza,Summer 2026,Spain
Diego González,Ceuta,Zaragoza,toZaragoza,Summer 2026,Spain
Youness Lachhab,Ceuta,Oviedo,toOviedo,Summer 2026,Spain
Cristian Rodríguez,Ceuta,Juventud Torremolinos,toJuventud Torremolinos,Summer 2026,Spain
Ignacio Schor,Ceuta,TBD,to TBD,Summer 2026,Spain
Damián Cáceres,Getafe B,Córdoba,fromGetafe B,Summer 2026,Spain
Salim El Jebari,Atlético Madrid B,Córdoba,"fromAtlético Madrid B, previously on loan atMirandés",Summer 2026,Spain
Guilherme Fernandes,Betis,Córdoba,"fromBetis, previously on loan atValladolid",Summer 2026,Spain
Eder García,Bilbao Athletic,Córdoba,on loan fromBilbao Athletic,Summer 2026,Spain
Adnane Ghailan,Europa,Córdoba,fromEuropa,Summer 2026,Spain
Juan Gutiérrez,Mirandés,Córdoba,fromMirandés,Summer 2026,Spain
Jacobo Martí,Mérida,Córdoba,fromMérida,Summer 2026,Spain
Egoitz Muñoz,Alavés B,Córdoba,on loan fromAlavés B,Summer 2026,Spain
Enol Rodríguez,Huesca,Córdoba,fromHuesca,Summer 2026,Spain
Unai Sabroso,Rayo Vallecano B,Córdoba,fromRayo Vallecano B,Summer 2026,Spain
Ibai Sanz,Bilbao Athletic,Córdoba,on loan fromBilbao Athletic,Summer 2026,Spain
Dani Tasende,Zaragoza,Córdoba,fromZaragoza,Summer 2026,Spain
Juan María Alcedo,Córdoba,Torreense,toTorreense,Summer 2026,Spain
Dalisson de Almeida,Córdoba,Hajduk Split,on loan toHajduk Split,Summer 2026,Spain
Alberto del Moral,Córdoba,Oviedo,"loan return toOviedo, later signed byHajduk Split",Summer 2026,Spain
Adrián Fuentes,Córdoba,Mallorca,toMallorca,Summer 2026,Spain
Jacobo González,Córdoba,Oviedo,toOviedo,Summer 2026,Spain
Pedro Ortiz,Córdoba,Ibiza,toIbiza,Summer 2026,Spain
Dani Requena,Córdoba,Villarreal,"loan return toVillarreal, later loaned toLevante",Summer 2026,Spain
Xavi Sintes,Córdoba,TBD,to TBD,Summer 2026,Spain
Mariano Carmona,Córdoba,Eldense,"on loan fromCórdoba, previously on loan atAlcorcón",Summer 2026,Spain
Jordi Martín,Huesca,Eldense,fromHuesca,Summer 2026,Spain
Javi Martínez,Eibar,Eldense,fromEibar,Summer 2026,Spain
Juan Palomares,Mirandés,Eldense,fromMirandés,Summer 2026,Spain
Jorge Rastrojo,Algeciras,Eldense,fromAlgeciras,Summer 2026,Spain
Justin Smith,Espanyol,Eldense,"fromEspanyol, previously on loan atSporting Gijón",Summer 2026,Spain
Rodri Val,Atlético Sanluqueño,Eldense,fromAtlético Sanluqueño,Summer 2026,Spain
Julien Yanda,Bayern Munich II,Eldense,on loan fromBayern Munich II,Summer 2026,Spain
Hamza Bellari,Eldense,Valencia Mestalla,"loan return toValencia Mestalla, later signed byCastellón",Summer 2026,Spain
Boston Billups,Eldense,Cartagena,on loan toCartagena,Summer 2026,Spain
Dario Đumić,Eldense,TBD,to TBD,Summer 2026,Spain
Manu Molina,Eldense,TBD,to TBD,Summer 2026,Spain
Rubén Quintanilla,Eldense,Almería,"loan return toAlmería, later signed byRayo Majadahonda",Summer 2026,Spain
Imanol García de Albéniz,Sparta Prague,Eibar,"fromSparta Prague, previously on loan atAndorra",Summer 2026,Spain
Iván Gil,Las Palmas,Eibar,fromLas Palmas,Summer 2026,Spain
Lucas Núñez,Valencia Mestalla,Eibar,on loan fromValencia Mestalla,Summer 2026,Spain
Francisco Pejiño,Las Palmas,Eibar,fromLas Palmas,Summer 2026,Spain
Hodei Arrillaga,Eibar,Mirandés,on loan toMirandés,Summer 2026,Spain
Marco Moreno,Eibar,Bahia,toBahia,Summer 2026,Spain
Toni Villa,Eibar,Cartagena,toCartagena,Summer 2026,Spain
Izan González,Cornellà,Girona,"fromCornellà, previously on loan atGranada",Summer 2026,Spain
Sergi Puig,Girona B,Girona,promoted fromGirona B,Summer 2026,Spain
Oleksandr Pyshchur,Győri ETO,Girona,fromGyőri ETO,Summer 2026,Spain
Rubén Blanco,Girona,Yokohama Marinos,toYokohama Marinos,Summer 2026,Spain
Daley Blind,Girona,Ajax Amsterdam,toAjax Amsterdam,Summer 2026,Spain
Juan Carlos,Girona,TBD,to TBD,Summer 2026,Spain
Joel Roca,Girona,Olympiacos,toOlympiacos,Summer 2026,Spain
Axel Witsel,Girona,TBD,to TBD,Summer 2026,Spain
Kader Bamba,Clermont Foot,Granada,fromClermont Foot,Summer 2026,Spain
Sergio López,Darmstadt,Granada,fromDarmstadt,Summer 2026,Spain
Alejandro Marqués,Estoril,Granada,fromEstoril,Summer 2026,Spain
Ander Astralaga,Granada,Barcelona Atlètic,"loan return toBarcelona Atlètic, later signed byAtlético Madrid B",Summer 2026,Spain
Mohamed Bouldini,Granada,Deportivo A Coruña,"loan return toDeportivo A Coruña, later TBD",Summer 2026,Spain
Baba Diocou,Granada,Tenerife,loan return toTenerife,Summer 2026,Spain
Izan González,Granada,Cornellà,"loan return toCornellà, later signed byGirona",Summer 2026,Spain
Sergio Ruiz,Granada,Las Palmas,toLas Palmas,Summer 2026,Spain
Pablo Sáenz,Granada,Oviedo,toOviedo,Summer 2026,Spain
Mateo Aćimović,Olimpija Ljubljana,Las Palmas,fromOlimpija Ljubljana,Summer 2026,Spain
Jefté Betancor,Olympiacos,Las Palmas,"fromOlympiacos, previously on loan atAlbacete",Summer 2026,Spain
Andrés Rodríguez,Teruel,Las Palmas,fromTeruel,Summer 2026,Spain
Lorenzo Amatucci,Las Palmas,Fiorentina,"loan return toFiorentina, later signed byDeportivo A Coruña",Summer 2026,Spain
Sergio Barcia,Las Palmas,Legia Warsaw,"loan return toLegia Warsaw, later signed byBraga",Summer 2026,Spain
Nicolás Benedetti,Las Palmas,Deportivo Cali,toDeportivo Cali,Summer 2026,Spain
Iker Bravo,Las Palmas,Udinese,"loan return toUdinese, later signed byWatford",Summer 2026,Spain
Mika Mármol,Las Palmas,Feyenoord,toFeyenoord,Summer 2026,Spain
Jonathan Viera,Las Palmas,TBD,to TBD,Summer 2026,Spain
Zico Buurmeester,AZ Alkmaar,Leganés,"fromAZ Alkmaar, previouly on loan atPEC Zwolle",Summer 2026,Spain
Ismaël Gharbi,Braga,Leganés,"on loan fromBraga, previouly on loan atAugsburg",Summer 2026,Spain
Alfred Gøthler,Køge,Leganés,fromKøge,Summer 2026,Spain
Yassine Kechta,Le Havre,Leganés,fromLe Havre,Summer 2026,Spain
Álvaro Tejero,Aris Thessaloniki,Leganés,fromAris Thessaloniki,Summer 2026,Spain
Seydouba Cissé,Leganés,Al-Kholood,toAl-Kholood,Summer 2026,Spain
Duk,Leganés,Atlas,toAtlas,Summer 2026,Spain
Diego García,Leganés,Malmö,toMalmö,Summer 2026,Spain
Jorge Sáenz,Leganés,Sporting Gijón,toSporting Gijón,Summer 2026,Spain
Álex Sala,Lecce,Mallorca,on loan fromLecce,Summer 2026,Spain
Aboubaka Soumahoro,Hamburg,Mallorca,on loan fromHamburg,Summer 2026,Spain
Takuma Asano,Mallorca,Sanfrecce Hiroshima,toSanfrecce Hiroshima,Summer 2026,Spain
Pablo Maffeo,Mallorca,Olympiacos,toOlympiacos,Summer 2026,Spain
Omar Mascarell,Mallorca,Al-Khaleej,toAl-Khaleej,Summer 2026,Spain
Vedat Muriqi,Mallorca,Fenerbahçe,toFenerbahçe,Summer 2026,Spain
Carlos Fernández,Real Sociedad,Oviedo,"fromReal Sociedad, previously on loan atMirandés",Summer 2026,Spain
Alexandru Ișfan,Farul Constanța,Oviedo,fromFarul Constanța,Summer 2026,Spain
Víctor Mingo,Arenteiro,Oviedo,fromArenteiro,Summer 2026,Spain
Chris Ramos,Botafogo,Oviedo,on loan fromBotafogo,Summer 2026,Spain
Samu Rodríguez,Alcorcón,Oviedo,fromAlcorcón,Summer 2026,Spain
Lucas Ahijado,Oviedo,TBD,to TBD,Summer 2026,Spain
Rahim Alhassane,Oviedo,Bologna,toBologna,Summer 2026,Spain
Eric Bailly,Oviedo,Columbus Crew,toColumbus Crew,Summer 2026,Spain
Thiago Borbas,Oviedo,Red Bull Bragantino,"loan return toRed Bull Bragantino, later loaned toAtlético Mineiro",Summer 2026,Spain
David Carmo,Oviedo,Nottingham Forest,"loan return toNottingham Forest, later loaned toOlympiacos",Summer 2026,Spain
Santiago Colombatto,Oviedo,León,"loan return toLeón, later TBD",Summer 2026,Spain
Leander Dendoncker,Oviedo,TBD,to TBD,Summer 2026,Spain
Ovie Ejaria,Oviedo,TBD,to TBD,Summer 2026,Spain
Thiago Fernández,Oviedo,Villarreal,"loan return toVillarreal, later TBD",Summer 2026,Spain
Álex Forés,Oviedo,Villarreal,"loan return toVillarreal, later TBD",Summer 2026,Spain
Horațiu Moldovan,Oviedo,Atlético Madrid,"loan return toAtlético Madrid, later loaned toEyüpspor",Summer 2026,Spain
Federico Viñas,Oviedo,León,"loan return toLeón, later TBD",Summer 2026,Spain
Javier Soroeta,Real Unión,Real Sociedad B,fromReal Unión,Summer 2026,Spain
Egoitz Arana,Real Sociedad B,Sporting Gijón,toSporting Gijón,Summer 2026,Spain
Jakes Gorosabel,Real Sociedad B,TBD,to TBD,Summer 2026,Spain
Pipa Ávila,Ludogorets Razgrad,Sabadell,fromLudogorets Razgrad,Summer 2026,Spain
José Luis Catalá,Espanyol B,Sabadell,fromEspanyol B,Summer 2026,Spain
Miki Codina,Zamora,Sabadell,fromZamora,Summer 2026,Spain
Pere Pons,AEK Larnaca,Sabadell,fromAEK Larnaca,Summer 2026,Spain
Yanis Rahmani,Cartagena,Sabadell,fromCartagena,Summer 2026,Spain
Alain Ribeiro,Pontevedra,Sabadell,fromPontevedra,Summer 2026,Spain
Óscar Sanz,Gimnàstic Tarragona,Sabadell,fromGimnàstic Tarragona,Summer 2026,Spain
Carlos García-Die,Sabadell,TBD,to TBD,Summer 2026,Spain
Jordi Ortega,Sabadell,Olot,toOlot,Summer 2026,Spain
Nil Ruiz,Sabadell,Europa,toEuropa,Summer 2026,Spain
Sergi Segura,Sabadell,TBD,to TBD,Summer 2026,Spain
Albert Tolosa,Sabadell,Europa,toEuropa,Summer 2026,Spain
Konrad de la Fuente,Lausanne,Sporting Gijón,"fromLausanne, previously on loan atCeuta",Summer 2026,Spain
Aimar Duñabeitia,Bilbao Athletic,Sporting Gijón,fromBilbao Athletic,Summer 2026,Spain
Hugo Guillamón,Hajduk Split,Sporting Gijón,fromHajduk Split,Summer 2026,Spain
Emanuel Gularte,Puebla,Sporting Gijón,"fromPuebla, previously on loan atPeñarol Montevideo",Summer 2026,Spain
Nikita Iosifov,Celje,Sporting Gijón,fromCelje,Summer 2026,Spain
Jesús Bernal,Sporting Gijón,Racing Ferrol,toRacing Ferrol,Summer 2026,Spain
Amadou Coundoul,Sporting Gijón,Académica Coimbra,on loan toAcadémica Coimbra,Summer 2026,Spain
Andrés Cuenca,Sporting Gijón,Barcelona Atlètic,"loan return toBarcelona Atlètic, later signed byComo",Summer 2026,Spain
Eric Curbelo,Sporting Gijón,TBD,to TBD,Summer 2026,Spain
Christian Joel,Sporting Gijón,União Leiria,toUnião Leiria,Summer 2026,Spain
Brian Oliván,Sporting Gijón,TBD,to TBD,Summer 2026,Spain
Lucas Perrin,Sporting Gijón,Nantes,toNantes,Summer 2026,Spain
Dani Queipo,Sporting Gijón,TBD,to TBD,Summer 2026,Spain
Justin Smith,Sporting Gijón,Espanyol,"loan return toEspanyol, later signed byEldense",Summer 2026,Spain
Kevin Vázquez,Sporting Gijón,TBD,to TBD,Summer 2026,Spain
Jesús Álvarez,Huesca,Tenerife,fromHuesca,Summer 2026,Spain
Anes Krdžalić,Sarajevo,Tenerife,fromSarajevo,Summer 2026,Spain
Grant-Leon Ranos,Borussia Möenchengladbach,Tenerife,fromBorussia Möenchengladbach,Summer 2026,Spain
Víctor Moreno,Villarreal B,Tenerife,"fromVillarreal B, previously on loan atCultural Leonesa",Summer 2026,Spain
Martin Pečar,Bravo,Tenerife,fromBravo,Summer 2026,Spain
Mauro Pittón,Unión de Santa Fe,Tenerife,fromUnión de Santa Fe,Summer 2026,Spain
Neal Viereck,Jong Utrecht,Tenerife,on loan fromJong Utrecht,Summer 2026,Spain
Facundo Agüero,Tenerife,TBD,to TBD,Summer 2026,Spain
Josep Calavera,Tenerife,Ibiza,on loan toIbiza,Summer 2026,Spain
Jeremy Jorge,Tenerife,Rayo Majadahonda,on loan toRayo Majadahonda,Summer 2026,Spain
Maikel Mesa,Tenerife,TBD,to TBD,Summer 2026,Spain
Javi Pérez,Tenerife,TBD,to TBD,Summer 2026,Spain
Gastón Valles,Tenerife,TBD,to TBD,Summer 2026,Spain
Álex Balboa,Lugo,Valladolid,fromLugo,Summer 2026,Spain
Víctor Barberá,Barcelona Atlètic,Valladolid,fromBarcelona Atlètic,Summer 2026,Spain
Yeray Cabanzón,Racing Santander,Valladolid,"fromRacing Santander, previously on loan atAndorra",Summer 2026,Spain
Luis Chacón,Deportivo A Coruña,Valladolid,"fromDeportivo A Coruña, previously on loan atCultural Leonesa",Summer 2026,Spain
Kaj de Rooij,PEC Zwolle,Valladolid,fromPEC Zwolle,Summer 2026,Spain
Víctor Fernandez Jr.,Valencia Mestalla,Valladolid,on loan fromValencia Mestalla,Summer 2026,Spain
Thiago Ojeda,Villarreal,Valladolid,"fromVillarreal, previously on loan atCultural Leonesa",Summer 2026,Spain
Dani Pérez,Betis Deportivo,Valladolid,fromBetis Deportivo,Summer 2026,Spain
Robin van Duiven,Jong PSV,Valladolid,"fromJong PSV, previously on loan atLommel",Summer 2026,Spain
Peter Federico,Valladolid,Getafe,"loan return toGetafe, later signed byGórnik Zabrze",Summer 2026,Spain
Guilherme Fernandes,Valladolid,Betis,"loan return toBetis, later signed byCórdoba",Summer 2026,Spain
Mario Maroto,Valladolid,UD Logroñés,toUD Logroñés,Summer 2026,Spain
Ferran Torres,Barcelona,Paris Saint-Germain,fromBarcelona,Summer 2026,France
Maghnes Akliouche,Monaco,Paris Saint-Germain,fromMonaco,Summer 2026,France
Lucas Digne,Aston Villa,Paris Saint-Germain,fromAston Villa,Summer 2026,France
