player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches,goals_p90,assists_p90,xg_p90,xag_p90,npxg_p90,prog_carries_p90,prog_passes_p90,prog_receptions_p90,key_passes_p90,xa_p90,tackles_won_p90,interceptions_p90,clearances_p90,carries_p90,touches_p90,goals_zscore,assists_zscore,xg_zscore,xag_zscore,npxg_zscore,prog_carries_zscore,prog_passes_zscore,prog_receptions_zscore,key_passes_zscore,xa_zscore,tackles_won_zscore,interceptions_zscore,clearances_zscore,carries_zscore,touches_zscore,shots_zscore,shots_on_target_zscore,pass_completion_zscore
Jim Allevinah,Clermont Foot,Ligue 1,"MF,DF",,1861.0,2.0,1.0,2.6,1.2,2.6,,,87.0,52.0,120.0,20.0,,79.3,18.0,13.0,30.0,726.0,1008.0,0.09672219236969372,0.04836109618484686,0.12573885008060182,0.05803331542181622,0.12573885008060182,4.207415368081676,2.5147770016120368,5.803331542181623,0.967221923696937,,0.8704997313272433,0.6286942504030092,1.4508328855454058,35.11015583019881,48.74798495432563,-0.15961544525736054,-0.35580616731790854,-0.02735190270056388,-0.35715019565333866,0.06054718177868432,1.9513214445615357,-0.6061321098670582,0.7204660755941933,0.20097244763723487,,-0.06502890326543763,-0.4388291012243713,-0.08165633808341871,0.2796134226844436,-0.10440693724794882,,,0.073708458459754
Neto Borges,Clermont Foot,Ligue 1,DF,,2516.0,0.0,1.0,0.5,2.8,0.5,,,58.0,88.0,165.0,25.0,,80.7,24.0,57.0,84.0,1131.0,1743.0,0.0,0.03577106518282989,0.017885532591414944,0.10015898251192368,0.017885532591414944,2.0747217806041336,3.14785373608903,5.902225755166931,0.8942766295707473,,0.8585055643879173,2.038950715421304,3.0047694753577106,40.4570747217806,62.348966613672495,-0.725961635448117,-0.4794150448005881,-0.7216156012094843,0.13921342029718065,-0.7316198105933315,0.36589937739011175,-0.2967370518573211,0.7510158596443233,0.09198076926722665,,-0.08503211764020766,1.629557724843044,0.9753751821462613,0.6513565438320511,0.5681582951011904,,,0.24808259027689067
Bilal Boutobba,Clermont Foot,Ligue 1,"FW,MF",,926.0,1.0,1.0,2.0,1.7,2.0,,,38.0,43.0,86.0,12.0,,69.1,12.0,8.0,3.0,411.0,536.0,0.09719222462203024,0.09719222462203024,0.19438444924406048,0.1652267818574514,0.19438444924406048,3.6933045356371488,4.1792656587473,8.3585313174946,1.1663066954643628,,1.1663066954643628,0.7775377969762419,0.2915766738660907,39.94600431965443,52.095032397408204,-0.15686322295081803,0.12361766979304119,0.4145273892031067,0.9059024817666306,0.5647391630252871,1.569136838429968,0.2073309927635587,1.509802468334877,0.4984362343388811,,0.4283017421321967,-0.22052410598846392,-0.8702151272905734,0.6158245093529678,0.061103744085366375,,,-1.1967316447793799
Maximiliano Caufriez,Clermont Foot,Ligue 1,DF,,1659.0,0.0,1.0,0.4,0.2,0.4,,,24.0,61.0,11.0,9.0,,87.4,28.0,18.0,69.0,724.0,1087.0,0.0,0.054249547920433995,0.0216998191681736,0.0108499095840868,0.0216998191681736,1.301989150090416,3.3092224231464735,0.596745027124774,0.488245931283906,,1.5189873417721518,0.976491862567812,3.7432188065099457,39.276672694394215,58.96925858951175,-0.725961635448117,-0.2979933701111141,-0.6970626178835992,-0.9131087727455472,-0.7036044282583487,-0.2085419636601392,-0.2178735088235703,-0.887920187583163,-0.5146925988526315,,1.016483198136137,0.07127669653919373,1.4776892561167565,0.5692894052112583,0.4010325559836895,,,1.0825873639731847
Muhammed Cham,Clermont Foot,Ligue 1,"MF,FW",,2554.0,8.0,4.0,9.4,3.1,5.5,,,71.0,161.0,142.0,49.0,,79.5,14.0,8.0,5.0,1216.0,1609.0,0.28191072826938135,0.14095536413469067,0.3312451057165231,0.10924040720438527,0.1938136256851997,2.50195771339076,5.6734534064213005,5.00391542678152,1.726703210649961,,0.49334377447141736,0.28191072826938135,0.17619420516836337,42.85043069694596,56.69929522317933,0.9247357176372356,0.5532840105201794,1.2955145276140967,0.24621917497616422,0.5605465466800071,0.6835020933665891,0.9375652277192202,0.47351543051150197,1.3357562763572313,,-0.6940289410231653,-0.9474475592643058,-0.9487015385733811,0.8177539847257249,0.28878342006545776,,,0.09861904871934521
Mory Diaw,Clermont Foot,Ligue 1,GK,,2700.0,0.0,0.0,0.0,0.1,0.0,,,0.0,1.0,0.0,2.0,,68.1,1.0,1.0,13.0,971.0,1352.0,0.0,0.0,0.0,0.003333333333333333,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,,0.03333333333333333,0.03333333333333333,0.43333333333333335,32.36666666666667,45.06666666666666,-0.725961635448117,-0.830615229526186,-0.8367467468783462,-1.0016760341116693,-0.862986456420738,-1.1764270559637933,-1.818854621821705,-1.0722629429510542,-1.1445979569301399,,-1.4612091474739712,-1.3120296205400956,-0.7737882471709416,0.08887306451447542,-0.28644723047847337,,,-1.321284596077334
Johan Gastien,Clermont Foot,Ligue 1,MF,,2260.0,0.0,0.0,0.3,2.4,0.3,,,21.0,168.0,21.0,32.0,,82.5,22.0,36.0,24.0,1458.0,1918.0,0.0,0.0,0.011946902654867255,0.09557522123893804,0.011946902654867255,0.8362831858407079,6.6902654867256635,0.8362831858407079,1.2743362831858407,,0.8761061946902655,1.4336283185840708,0.9557522123893805,58.06194690265487,76.38053097345133,-0.725961635448117,-0.830615229526186,-0.7598432170103312,0.08520330064147542,-0.7752381871547854,-0.5547428979481774,1.4344980882051912,-0.8139235521923269,0.6598493346687697,,-0.05567875088702428,0.7417469597809299,-0.41842418306070733,1.8753306239750216,1.2620157371756868,,,0.472277902613208
Maxime Gonalons,Clermont Foot,Ligue 1,MF,,1296.0,1.0,0.0,0.4,0.2,0.4,,,8.0,81.0,10.0,7.0,,86.3,33.0,20.0,11.0,659.0,921.0,0.06944444444444445,0.0,0.027777777777777776,0.013888888888888888,0.027777777777777776,0.5555555555555556,5.625,0.6944444444444444,0.4861111111111111,,2.2916666666666665,1.3888888888888888,0.7638888888888888,45.763888888888886,63.958333333333336,-0.3193373067656333,-0.830615229526186,-0.6579381280494224,-0.8773007046310701,-0.6589627027776794,-0.7634328769175581,0.9138852475934739,-0.8577394923651034,-0.5178823540854851,,2.3051154355398604,0.6761287908288852,-0.5489350300577137,1.0203113946223101,0.6477410876417433,,,0.9455791175454339
Habib Keita,Clermont Foot,Ligue 1,MF,,1278.0,1.0,0.0,0.7,0.6,0.7,,,9.0,53.0,23.0,10.0,,87.6,19.0,29.0,30.0,629.0,878.0,0.07042253521126761,0.0,0.04929577464788732,0.04225352112676056,0.04929577464788732,0.6338028169014085,3.7323943661971835,1.619718309859155,0.7042253521126761,,1.3380281690140845,2.0422535211267605,2.112676056338028,44.29577464788732,61.83098591549296,-0.3136102035447533,-0.830615229526186,-0.5194244092382845,-0.5430823433507349,-0.5009161330541834,-0.705264682685694,-0.011062389826390342,-0.5719096553872028,-0.19198556406039882,,0.7146894058643043,1.6344018648840104,0.36854806379700705,0.9182411404782981,0.5425442756613452,,,1.107497954232774
Cheick Konaté,Clermont Foot,Ligue 1,DF,,1068.0,1.0,1.0,0.5,1.6,0.5,,,22.0,37.0,86.0,16.0,,65.9,15.0,13.0,21.0,412.0,631.0,0.08426966292134831,0.08426966292134831,0.042134831460674156,0.1348314606741573,0.042134831460674156,1.8539325842696628,3.1179775280898876,7.247191011235955,1.348314606741573,,1.2640449438202246,1.0955056179775282,1.7696629213483146,34.71910112359551,53.17415730337079,-0.2325298658109458,-0.003255992850526517,-0.5655201902277316,0.5477566630132878,-0.5535122233666604,0.20176700220173274,-0.3113380482351806,1.1664941458605302,0.7703845205765867,,0.5913042369587915,0.2458311055537791,0.13522084960178715,0.2524254476805495,0.11446620800823319,,,-1.595301088932832
Grejohn Kyei,Clermont Foot,Ligue 1,FW,,1026.0,2.0,1.0,4.9,1.2,4.1,,,12.0,30.0,85.0,12.0,,74.7,4.0,1.0,10.0,284.0,406.0,0.17543859649122806,0.08771929824561403,0.42982456140350883,0.10526315789473685,0.3596491228070175,1.0526315789473684,2.631578947368421,7.456140350877193,1.0526315789473684,,0.3508771929824561,0.08771929824561403,0.8771929824561403,24.912280701754383,35.614035087719294,0.30129982648657855,0.03061251391397414,1.930081355000789,0.19935554087273188,1.7785842486420194,-0.39391176934987415,-0.5490490695105027,1.2310414738665216,0.3285878310044544,,-0.9316268988621991,-1.232263126900184,-0.4718623881900659,-0.42939114727266636,-0.7538775611293893,,,-0.49923511751083494
Yohann Magnin,Clermont Foot,Ligue 1,MF,,1687.0,1.0,0.0,1.6,0.7,1.6,,,14.0,71.0,47.0,9.0,,83.5,31.0,19.0,26.0,730.0,1066.0,0.053349140486069944,0.0,0.08535862477771192,0.03734439834024896,0.08535862477771192,0.7468879668049793,3.7877889745109665,2.5074096028452875,0.48014226437462953,,1.6538233550681685,1.013633669235329,1.3870776526378186,38.944872554831065,56.87018375815056,-0.4135815939706429,-0.830615229526186,-0.2872838660193418,-0.6009261736275547,-0.23603972323424396,-0.6211983671215519,0.016009870326762418,-0.2976895925010583,-0.5268007446620872,,1.2413553124766687,0.1257516275273232,-0.12502444666952534,0.5462210883021293,0.2972338165226684,,,0.5968308539111623
Chrislain Matsima,Clermont Foot,Ligue 1,DF,,1180.0,1.0,0.0,0.2,0.0,0.2,,,13.0,45.0,1.0,0.0,,86.9,11.0,13.0,74.0,549.0,807.0,0.07627118644067796,0.0,0.015254237288135594,0.0,0.015254237288135594,0.9915254237288136,3.4322033898305087,0.07627118644067796,0.0,,0.8389830508474577,0.9915254237288136,5.6440677966101696,41.8728813559322,61.55084745762712,-0.279364067674813,-0.830615229526186,-0.7385535392502592,-1.0409524539476478,-0.7509462934031941,-0.43933744488636006,-0.1577706788676807,-1.0487017232934785,-1.2442083838723366,,-0.11759069594411309,0.09332603339785592,2.7707003808341324,0.7497901254503622,0.528691497110248,,,1.0203108883242076
Shamar Nicholson,Clermont Foot,Ligue 1,FW,,1484.0,4.0,3.0,5.9,1.1,4.4,,,18.0,33.0,110.0,18.0,,70.5,2.0,0.0,15.0,378.0,536.0,0.24258760107816713,0.18194070080862534,0.35781671159029654,0.06671159029649597,0.26684636118598387,1.091644204851752,2.001347708894879,6.671159029649596,1.091644204851752,,0.12129380053908356,0.0,0.9097035040431266,22.92452830188679,32.506738544474395,0.6944834588173786,0.9556778933234186,1.4665588848829108,-0.2548947254243546,1.0969614087648702,-0.36491019201580027,-0.857053486618262,0.9885499354541435,0.3868787958415324,,-1.3145135002546062,-1.3609187618032674,-0.44974781396493435,-0.56758910691608,-0.9075326188250954,,,-1.022357512962243
Florent Ogier,Clermont Foot,Ligue 1,DF,,943.0,1.0,1.0,0.6,0.5,0.6,,,4.0,17.0,0.0,1.0,,83.0,9.0,9.0,35.0,413.0,616.0,0.09544008483563098,0.09544008483563098,0.05726405090137858,0.04772004241781549,0.05726405090137858,0.3817603393425239,1.6224814422057265,0.0,0.09544008483563098,,0.8589607635206787,0.8589607635206787,3.3404029692470836,39.416755037115585,58.79109225874867,-0.16712268531821362,0.10641516789651226,-0.46813173627025745,-0.4786707277697981,-0.44239029832730664,-0.8926304196732732,-1.0422116896867444,-1.0722629429510542,-1.1016059699041865,,-0.08427296147022116,-0.10110313858473977,1.2036825562127509,0.5790285930233079,0.3922222742961086,,,0.5345543782621851
Andy Pelmard,Clermont Foot,Ligue 1,DF,,2989.0,0.0,0.0,0.3,0.6,0.3,,,39.0,120.0,7.0,6.0,,84.8,38.0,33.0,99.0,1393.0,1928.0,0.0,0.0,0.009033121445299431,0.018066242890598862,0.009033121445299431,1.174305787888926,3.613248578119773,0.2107728337236534,0.18066242890598863,,1.1441953830712612,0.9936433589829374,2.9809300769488125,41.94379391100703,58.05286048845768,-0.725961635448117,-0.830615229526186,-0.778599547981821,-0.8280792517586699,-0.7966394880229284,-0.3034604372906205,-0.06929090464344513,-1.0071523125155994,-0.9742704587362396,,0.39142570696075596,0.09643235447260928,0.9591589506045597,0.7547203020785453,0.355716892953133,,,0.7587496905985025
