player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches
Mohamed Amoura,Wolfsburg,Bundesliga,FW,24.0,2467,10,9,8.7,4.0,7.2,2.66,0.91,81,61,244,35,3.7,70.3,22,9,24,628,1106
Joachim Andersen,Fulham,Premier League,DF,28.0,2583,0,0,1.0,0.5,1.0,0.66,0.14,16,112,2,4,0.5,82.7,18,34,188,1350,2336
Elliot Anderson,Nott'ham Forest,Premier League,MF,21.0,2728,2,6,2.1,3.3,2.1,1.32,0.23,52,143,94,37,3.6,78.3,56,31,76,932,1831
André,Wolves,Premier League,MF,23.0,2472,0,0,0.4,0.8,0.4,0.36,0.04,10,109,11,18,0.7,92.9,55,37,30,912,1623
Robert Andrich,Leverkusen,Bundesliga,"MF,DF",29.0,1598,2,2,1.3,0.3,1.3,1.18,0.28,8,65,17,9,1.0,88.4,12,29,23,526,1114
Waldemar Anton,Dortmund,Bundesliga,DF,28.0,1949,2,2,1.7,0.8,1.7,0.88,0.14,32,117,28,6,1.8,90.4,21,30,112,1386,2126
Michail Antonio,West Ham,Premier League,FW,34.0,836,1,1,2.2,1.6,2.2,2.05,0.43,29,18,59,9,0.9,60.6,2,0,2,173,296
Cameron Archer,Southampton,Premier League,FW,23.0,1441,2,0,5.7,0.5,4.9,1.75,0.62,22,14,66,5,0.7,81.7,8,2,11,226,398
Alphonse Areola,West Ham,Premier League,GK,31.0,2260,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,69.6,2,0,15,601,1049
Joe Aribo,Southampton,Premier League,"MF,DF",28.0,2013,3,0,2.7,1.6,2.7,0.76,0.31,36,75,65,16,1.3,88.8,33,20,32,745,1271
Adam Armstrong,Southampton,Premier League,"FW,MF",27.0,1248,2,2,3.3,1.2,2.3,1.8,0.5,25,21,79,9,0.6,80.2,3,3,8,235,377
Maximilian Arnold,Wolfsburg,Bundesliga,MF,30.0,2356,3,5,0.9,3.5,0.9,1.03,0.46,9,128,16,45,4.4,77.2,20,24,70,787,1576
Jann-Fiete Arp,Holstein Kiel,Bundesliga,"FW,MF",24.0,713,2,0,3.8,1.0,2.2,2.52,1.14,14,21,66,11,1.7,58.6,10,3,8,158,303
Kepa Arrizabalaga,Bournemouth,Premier League,GK,29.0,2790,0,0,0.1,0.0,0.1,0.03,0.0,0,2,0,1,0.0,73.2,0,0,15,621,1087
Arthur,Leverkusen,Bundesliga,DF,21.0,752,0,1,0.1,0.4,0.1,0.12,0.0,15,25,53,2,1.0,78.9,11,9,29,242,508
Marco Asensio,Aston Villa,Premier League,MF,28.0,743,3,1,4.4,1.0,2.9,2.66,1.09,22,45,38,16,1.2,77.3,5,2,3,242,386
Noah Atubolu,Freiburg,Bundesliga,GK,22.0,2307,0,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0.1,74.5,0,0,13,680,1198
Yasin Ayari,Brighton,Premier League,MF,20.0,1965,2,1,2.4,2.3,2.4,1.28,0.37,30,75,61,30,2.6,81.5,32,20,26,655,1233
Jordan Ayew,Leicester City,Premier League,"FW,MF",32.0,1638,5,0,3.2,1.1,2.4,1.7,0.44,49,46,86,16,1.5,74.3,15,12,19,479,798
Leon Bailey,Aston Villa,Premier League,"FW,MF",26.0,1139,1,2,1.7,1.5,1.7,2.21,0.47,58,35,121,16,3.0,71.0,5,3,12,348,545
Ridle Baku,Wolfsburg,Bundesliga,"FW,MF",26.0,1170,2,1,1.5,1.3,1.5,1.38,0.46,16,44,78,13,1.6,74.1,15,15,15,352,646
Ridle Baku,RB Leipzig,Bundesliga,"DF,MF",26.0,1275,2,3,1.4,1.5,1.4,1.2,0.35,21,41,97,14,1.7,75.2,19,9,45,383,796
